gene,bnumber,COG class,molecular_weight_kDa,sequence_length,condition,copy_number_molecule-per-fL,growth_rate_hr-1,,,,,,,,,,
rsma,b0051,,30.42,273,rich,,0.22,,,,,,,,,,
sura,b0053,[o],47.283,428,rich,1595.739823,0.22,,,,,,,,,,
lptd,b0054,,89.67,784,rich,303.2038373,0.22,,,,,,,,,,
rapa,b0059,,109.77,968,rich,63.72385251,0.22,,,,,,,,,,
thib,b0068,,36.163,327,rich,416.625185,0.22,,,,,,,,,,
leud,b0071,[e],22.487,201,rich,2907.267755,0.22,,,,,,,,,,
leuc,b0072,[e],49.881,466,rich,2145.029559,0.22,,,,,,,,,,
leub,b0073,,39.517,363,rich,1977.463173,0.22,,,,,,,,,,
leua,b0074,[e],57.297,523,rich,2312.779382,0.22,,,,,,,,,,
ilvi,b0077,,62.984,574,rich,455.8228929,0.22,,,,,,,,,,
ilvh,b0078,[e],17.977,163,rich,959.9898621,0.22,,,,,,,,,,
cra,b0080,,37.999,334,rich,222.7920882,0.22,,,,,,,,,,
rsmh,b0082,,34.877,313,rich,185.6824403,0.22,,,,,,,,,,
mure,b0085,[m],53.343,495,rich,,0.22,,,,,,,,,,
murf,b0086,[m],47.447,452,rich,,0.22,,,,,,,,,,
murd,b0088,[m],46.973,438,rich,106.0314638,0.22,,,,,,,,,,
murg,b0090,[m],37.814,355,rich,,0.22,,,,,,,,,,
murc,b0091,[m],53.625,491,rich,,0.22,,,,,,,,,,
ddlb,b0092,[m],32.839,306,rich,,0.22,,,,,,,,,,
ftsa,b0094,[d],45.329,420,rich,224.6084101,0.22,,,,,,,,,,
ftsz,b0095,[d],40.323,383,rich,3029.483776,0.22,,,,,,,,,,
lpxc,b0096,[m],33.956,305,rich,,0.22,,,,,,,,,,
seca,b0098,[u],102.02,901,rich,883.938243,0.22,,,,,,,,,,
yacf,b0102,[s],28.291,247,rich,,0.22,,,,,,,,,,
guac,b0104,[f],37.383,347,rich,543.9235094,0.22,,,,,,,,,,
nadc,b0109,[h],32.762,297,rich,160.5207909,0.22,,,,,,,,,,
arop,b0112,[e],49.69,457,rich,78.31728123,0.22,,,,,,,,,,
pdhr,b0113,[k],29.425,254,rich,,0.22,,,,,,,,,,
acee,b0114,[c],99.667,887,rich,6285.734076,0.22,,,,,,,,,,
acef,b0115,[c],66.095,630,rich,4873.713727,0.22,,,,,,,,,,
lpd,b0116,[c],50.688,474,rich,10360.73436,0.22,,,,,,,,,,
acnb,b0118,[c],93.497,865,rich,20411.73724,0.22,,,,,,,,,,
yacl,b0119,[s],13.941,120,rich,,0.22,,,,,,,,,,
sped,b0120,[e],30.384,264,rich,245.6274056,0.22,,,,,,,,,,
spee,b0121,[e],32.321,288,rich,251.6674326,0.22,,,,,,,,,,
yacc,b0122,,12.854,115,rich,,0.22,,,,,,,,,,
cueo,b0123,[q],56.556,516,rich,299.4259108,0.22,,,,,,,,,,
gcd,b0124,[g],86.746,796,rich,,0.22,,,,,,,,,,
hpt,b0125,,20.115,178,rich,658.8511271,0.22,,,,,,,,,,
can,b0126,[p],25.096,220,rich,2186.408608,0.22,,,,,,,,,,
yadg,b0127,[v],34.647,308,rich,106.9086949,0.22,,,,,,,,,,
pand,b0131,[h],13.834,126,rich,,0.22,,,,,,,,,,
panc,b0133,[h],31.597,283,rich,1867.217605,0.22,,,,,,,,,,
panb,b0134,[h],28.237,264,rich,1749.102295,0.22,,,,,,,,,,
pcnb,b0143,[j],53.87,465,rich,,0.22,,,,,,,,,,
dksa,b0145,[t],17.528,151,rich,1989.259546,0.22,,,,,,,,,,
mrcb,b0149,[m],94.291,844,rich,,0.22,,,,,,,,,,
fhua,b0150,[p],82.181,747,rich,360.4717471,0.22,,,,,,,,,,
heml,b0154,[h],45.366,426,rich,1073.688177,0.22,,,,,,,,,,
erpa,b0156,,12.1,114,rich,949.175356,0.22,,,,,,,,,,
mtn,b0159,,24.354,232,rich,,0.22,,,,,,,,,,
degp,b0161,[o],49.354,474,rich,2613.15678,0.22,,,,,,,,,,
yaeh,b0163,,15.096,128,rich,7965.31953,0.22,,,,,,,,,,
dapd,b0166,[e],29.892,274,rich,2854.640048,0.22,,,,,,,,,,
glnd,b0167,[o],102.39,890,rich,,0.22,,,,,,,,,,
map,b0168,[j],29.33,264,rich,568.6972633,0.22,,,,,,,,,,
rpsb,b0169,[j],26.743,241,rich,16937.99001,0.22,,,,,,,,,,
tsf,b0170,[j],30.423,283,rich,15275.50752,0.22,,,,,,,,,,
pyrh,b0171,[f],25.97,241,rich,475.3921152,0.22,,,,,,,,,,
frr,b0172,[j],20.638,185,rich,4717.860133,0.22,,,,,,,,,,
ispu,b0174,[i],28.444,253,rich,,0.22,,,,,,,,,,
rsep,b0176,,49.071,450,rich,,0.22,,,,,,,,,,
bama,b0177,,90.552,810,rich,2101.267077,0.22,,,,,,,,,,
skp,b0178,,17.688,161,rich,8727.268215,0.22,,,,,,,,,,
lpxd,b0179,[m],36.038,341,rich,270.2491758,0.22,,,,,,,,,,
fabz,b0180,[i],17.033,151,rich,1686.863864,0.22,,,,,,,,,,
lpxa,b0181,[m],28.08,262,rich,645.5423659,0.22,,,,,,,,,,
acca,b0185,[i],35.241,319,rich,2305.66513,0.22,,,,,,,,,,
yaer,b0187,,14.737,129,rich,,0.22,,,,,,,,,,
rof,b0189,[k],9.4795,84,rich,,0.22,,,,,,,,,,
nlpe,b0192,[mp],25.844,236,rich,,0.22,,,,,,,,,,
pros,b0194,[j],63.692,572,rich,1911.796635,0.22,,,,,,,,,,
rcsf,b0196,,14.163,134,rich,249.764575,0.22,,,,,,,,,,
metq,b0197,[p],29.431,271,rich,21243.36646,0.22,,,,,,,,,,
meti,b0198,[p],23.256,217,rich,,0.22,,,,,,,,,,
metn,b0199,[p],37.788,343,rich,277.0161101,0.22,,,,,,,,,,
gmhb,b0200,[e],21.294,191,rich,,0.22,,,,,,,,,,
dkgb,b0207,[r],29.436,267,rich,,0.22,,,,,,,,,,
glob,b0212,[r],28.434,251,rich,,0.22,,,,,,,,,,
ivy,b0220,,16.872,157,rich,1374.232261,0.22,,,,,,,,,,
fade,b0221,[i],89.223,814,rich,271.1811928,0.22,,,,,,,,,,
lpca,b0222,[g],20.815,192,rich,3785.52593,0.22,,,,,,,,,,
dinj,b0226,[l],9.4057,86,rich,,0.22,,,,,,,,,,
pepd,b0237,[e],52.915,485,rich,2981.883842,0.22,,,,,,,,,,
gpt,b0238,[f],16.97,152,rich,1251.743878,0.22,,,,,,,,,,
frsa,b0239,[r],47.008,414,rich,,0.22,,,,,,,,,,
crl,b0240,,15.655,133,rich,2113.821188,0.22,,,,,,,,,,
prob,b0242,[e],39.056,367,rich,438.776794,0.22,,,,,,,,,,
proa,b0243,[e],44.63,417,rich,764.9120636,0.22,,,,,,,,,,
insh,b0259,,39.327,338,rich,,0.22,,,,,,,,,,
argf,b0273,[e],36.827,334,rich,,0.22,,,,,,,,,,
yagu,b0287,[s],22.967,204,rich,65.1051139,0.22,,,,,,,,,,
betb,b0312,[c],52.911,490,rich,,0.22,,,,,,,,,,
yahk,b0325,[r],37.978,349,rich,3268.89516,0.22,,,,,,,,,,
yaho,b0329,,9.8953,91,rich,1385.895432,0.22,,,,,,,,,,
prpb,b0331,[g],32.134,296,rich,605.2191702,0.22,,,,,,,,,,
prpc,b0333,[c],43.102,389,rich,96.36350834,0.22,,,,,,,,,,
prpd,b0334,[r],53.951,483,rich,331.0257196,0.22,,,,,,,,,,
codb,b0336,[f],43.649,419,rich,,0.22,,,,,,,,,,
coda,b0337,[fr],47.59,427,rich,523.1992383,0.22,,,,,,,,,,
laci,b0345,,38.59,360,rich,,0.22,,,,,,,,,,
mhpr,b0346,[k],31.322,277,rich,,0.22,,,,,,,,,,
yail,b0354,,19.923,179,rich,,0.22,,,,,,,,,,
frma,b0356,[c],39.359,369,rich,438.4992748,0.22,,,,,,,,,,
frmr,b0357,,10.318,91,rich,,0.22,,,,,,,,,,
hemb,b0369,,35.624,324,rich,374.8923243,0.22,,,,,,,,,,
ddla,b0381,[m],39.315,364,rich,,0.22,,,,,,,,,,
irap,b0382,,9.9374,86,rich,1373.507481,0.22,,,,,,,,,,
psif,b0384,,11.686,106,rich,,0.22,,,,,,,,,,
proc,b0386,[e],28.145,269,rich,1158.329211,0.22,,,,,,,,,,
arol,b0388,[e],19.151,174,rich,,0.22,,,,,,,,,,
yaie,b0391,[s],10.234,94,rich,,0.22,,,,,,,,,,
rdgc,b0393,[l],33.993,303,rich,293.2472601,0.22,,,,,,,,,,
mak,b0394,[kg],32.499,302,rich,,0.22,,,,,,,,,,
quea,b0405,[j],39.43,356,rich,,0.22,,,,,,,,,,
tgt,b0406,[j],42.593,375,rich,174.1146812,0.22,,,,,,,,,,
yajc,b0407,[u],11.887,110,rich,7765.59962,0.22,,,,,,,,,,
secd,b0408,[u],66.631,615,rich,717.3187681,0.22,,,,,,,,,,
secf,b0409,[u],35.382,323,rich,191.0389918,0.22,,,,,,,,,,
yajd,b0410,,13.364,115,rich,,0.22,,,,,,,,,,
tsx,b0411,[m],33.589,294,rich,1872.95795,0.22,,,,,,,,,,
nrdr,b0413,,17.229,149,rich,,0.22,,,,,,,,,,
ribd,b0414,[h],40.338,367,rich,,0.22,,,,,,,,,,
ribe,b0415,[h],16.156,156,rich,3575.400936,0.22,,,,,,,,,,
nusb,b0416,[k],15.689,139,rich,923.92878,0.22,,,,,,,,,,
thil,b0417,[h],35.07,325,rich,,0.22,,,,,,,,,,
yajo,b0419,[c],36.42,324,rich,,0.22,,,,,,,,,,
dxs,b0420,[hi],67.616,620,rich,135.7152335,0.22,,,,,,,,,,
ispa,b0421,[h],32.159,299,rich,,0.22,,,,,,,,,,
xseb,b0422,[l],8.9518,80,rich,,0.22,,,,,,,,,,
thii,b0423,[h],54.972,482,rich,101.9248783,0.22,,,,,,,,,,
yajl,b0424,,20.777,196,rich,,0.22,,,,,,,,,,
yajq,b0426,[s],18.344,163,rich,7443.331123,0.22,,,,,,,,,,
cyod,b0429,[c],12.029,109,rich,192.8694749,0.22,,,,,,,,,,
cyob,b0431,[c],74.367,663,rich,354.705562,0.22,,,,,,,,,,
cyoa,b0432,[c],34.911,315,rich,2841.843091,0.22,,,,,,,,,,
yajg,b0434,,20.95,192,rich,2074.669612,0.22,,,,,,,,,,
bola,b0435,,11.994,105,rich,,0.22,,,,,,,,,,
tig,b0436,[o],48.192,432,rich,11899.8245,0.22,,,,,,,,,,
clpp,b0437,[ou],23.186,207,rich,1712.944604,0.22,,,,,,,,,,
clpx,b0438,[o],46.355,424,rich,1203.074078,0.22,,,,,,,,,,
lon,b0439,[o],87.437,784,rich,861.6722444,0.22,,,,,,,,,,
hupb,b0440,[l],9.2255,90,rich,53400.04281,0.22,,,,,,,,,,
ppid,b0441,[o],68.149,623,rich,1469.416142,0.22,,,,,,,,,,
quec,b0444,,25.514,231,rich,,0.22,,,,,,,,,,
glnk,b0450,[e],12.259,112,rich,,0.22,,,,,,,,,,
tesb,b0452,[i],31.966,286,rich,,0.22,,,,,,,,,,
ybay,b0453,,19.431,190,rich,1715.212592,0.22,,,,,,,,,,
ylac,b0458,,18.267,156,rich,,0.22,,,,,,,,,,
acrb,b0462,[v],113.57,1049,rich,231.7588322,0.22,,,,,,,,,,
acra,b0463,[m],42.196,397,rich,2195.019841,0.22,,,,,,,,,,
kefa,b0465,[m],127.21,1120,rich,36.51069882,0.22,,,,,,,,,,
ybam,b0466,,6.0248,53,rich,,0.22,,,,,,,,,,
apt,b0469,[f],19.859,183,rich,572.5939227,0.22,,,,,,,,,,
ybab,b0471,[s],12.015,109,rich,2984.965394,0.22,,,,,,,,,,
htpg,b0473,[o],71.422,624,rich,1993.16168,0.22,,,,,,,,,,
adk,b0474,[f],23.586,214,rich,4273.564571,0.22,,,,,,,,,,
hemh,b0475,,35.884,320,rich,,0.22,,,,,,,,,,
gsk,b0477,[g],48.448,434,rich,,0.22,,,,,,,,,,
usha,b0480,[f],60.823,550,rich,224.9289719,0.22,,,,,,,,,,
ybak,b0481,[s],17.093,159,rich,,0.22,,,,,,,,,,
copa,b0484,[p],87.872,834,rich,193.3572155,0.22,,,,,,,,,,
ybbl,b0490,[r],25.382,225,rich,86.344067,0.22,,,,,,,,,,
ybbn,b0492,,31.791,284,rich,843.0372023,0.22,,,,,,,,,,
ybbo,b0493,[iqr],29.41,269,rich,,0.22,,,,,,,,,,
ybba,b0495,[q],24.533,228,rich,,0.22,,,,,,,,,,
allr,b0506,[k],29.269,271,rich,88.68509612,0.22,,,,,,,,,,
purk,b0522,[f],39.461,355,rich,,0.22,,,,,,,,,,
pure,b0523,[f],17.78,169,rich,648.9819613,0.22,,,,,,,,,,
ppib,b0525,[o],18.153,164,rich,3827.044661,0.22,,,,,,,,,,
cyss,b0526,[j],52.202,461,rich,436.7320503,0.22,,,,,,,,,,
ybcj,b0528,[s],7.3895,70,rich,746.2916553,0.22,,,,,,,,,,
fold,b0529,[h],31.043,288,rich,344.4835138,0.22,,,,,,,,,,
nmpc,b0553,[m],40.302,365,rich,,0.22,,,,,,,,,,
bord,b0557,,10.447,97,rich,1529.119545,0.22,,,,,,,,,,
ompt,b0565,[m],35.562,317,rich,5275.63613,0.22,,,,,,,,,,
cusr,b0571,[tk],25.394,227,rich,,0.22,,,,,,,,,,
cusc,b0572,[mu],50.269,457,rich,422.3187063,0.22,,,,,,,,,,
cusb,b0574,[m],44.304,407,rich,176.2291003,0.22,,,,,,,,,,
nfsb,b0578,,23.905,217,rich,2486.63557,0.22,,,,,,,,,,
fepa,b0584,[p],82.106,746,rich,,0.22,,,,,,,,,,
fepb,b0592,[p],34.283,318,rich,,0.22,,,,,,,,,,
ente,b0594,[q],59.111,536,rich,,0.22,,,,,,,,,,
entb,b0595,[q],32.554,285,rich,,0.22,,,,,,,,,,
enta,b0596,[iqr],26.249,248,rich,,0.22,,,,,,,,,,
csta,b0598,[t],75.104,701,rich,608.7469281,0.22,,,,,,,,,,
ybdh,b0599,[c],39.091,362,rich,,0.22,,,,,,,,,,
ybdl,b0600,[e],42.962,386,rich,,0.22,,,,,,,,,,
dsbg,b0604,[o],27.495,248,rich,,0.22,,,,,,,,,,
ahpc,b0605,[o],20.761,187,rich,58442.7367,0.22,,,,,,,,,,
ahpf,b0606,[o],56.176,521,rich,1184.7985,0.22,,,,,,,,,,
uspg,b0607,[t],15.935,142,rich,3583.362469,0.22,,,,,,,,,,
rnk,b0610,[k],14.927,136,rich,,0.22,,,,,,,,,,
cspe,b0623,[k],7.4634,69,rich,24238.53209,0.22,,,,,,,,,,
tate,b0627,[u],7.0242,67,rich,,0.22,,,,,,,,,,
lipa,b0628,[h],36.071,321,rich,811.3370218,0.22,,,,,,,,,,
ybed,b0631,[s],9.8272,87,rich,2127.208876,0.22,,,,,,,,,,
daca,b0632,[m],44.443,403,rich,936.8825531,0.22,,,,,,,,,,
rlpa,b0633,[m],37.528,362,rich,187.6183737,0.22,,,,,,,,,,
ybeb,b0637,,11.582,105,rich,,0.22,,,,,,,,,,
lpte,b0641,,21.356,193,rich,481.8294964,0.22,,,,,,,,,,
leus,b0642,[j],97.233,860,rich,1474.074874,0.22,,,,,,,,,,
ybel,b0643,,18.797,160,rich,1298.500363,0.22,,,,,,,,,,
hscc,b0650,[o],61.986,556,rich,,0.22,,,,,,,,,,
riha,b0651,[f],33.823,311,rich,,0.22,,,,,,,,,,
gltl,b0652,[e],26.661,241,rich,,0.22,,,,,,,,,,
glti,b0655,[et],33.42,302,rich,2472.44853,0.22,,,,,,,,,,
lnt,b0657,[m],57.065,512,rich,,0.22,,,,,,,,,,
ybex,b0658,[p],33.298,292,rich,168.2431526,0.22,,,,,,,,,,
ybez,b0660,[t],39.038,346,rich,752.8236215,0.22,,,,,,,,,,
miab,b0661,[j],53.662,474,rich,,0.22,,,,,,,,,,
ubif,b0662,[hc],42.953,391,rich,,0.22,,,,,,,,,,
asnb,b0674,[e],62.658,554,rich,203.7822935,0.22,,,,,,,,,,
nagd,b0675,[g],27.163,250,rich,,0.22,,,,,,,,,,
nagc,b0676,[kg],44.541,406,rich,,0.22,,,,,,,,,,
naga,b0677,[g],40.949,382,rich,,0.22,,,,,,,,,,
nagb,b0678,[g],29.774,266,rich,867.4150372,0.22,,,,,,,,,,
nage,b0679,[g],68.346,648,rich,717.9480104,0.22,,,,,,,,,,
glns,b0680,[j],63.477,554,rich,826.4787918,0.22,,,,,,,,,,
fur,b0683,[p],16.795,148,rich,4540.851861,0.22,,,,,,,,,,
flda,b0684,[c],19.737,176,rich,2402.78841,0.22,,,,,,,,,,
ybff,b0686,[r],28.437,254,rich,,0.22,,,,,,,,,,
seqa,b0687,[l],20.315,181,rich,574.808187,0.22,,,,,,,,,,
pgm,b0688,[g],58.36,546,rich,1943.470815,0.22,,,,,,,,,,
ybgi,b0710,[s],26.892,247,rich,957.0893498,0.22,,,,,,,,,,
ybgk,b0712,[e],34.386,310,rich,,0.22,,,,,,,,,,
glta,b0720,[c],48.014,427,rich,19668.46694,0.22,,,,,,,,,,
sdhd,b0722,[c],12.867,115,rich,1770.855614,0.22,,,,,,,,,,
sdha,b0723,[c],64.421,588,rich,7093.32694,0.22,,,,,,,,,,
sdhb,b0724,[c],26.77,238,rich,6369.702853,0.22,,,,,,,,,,
suca,b0726,[c],105.06,933,rich,3604.653754,0.22,,,,,,,,,,
sucb,b0727,[c],44.011,405,rich,8249.278882,0.22,,,,,,,,,,
succ,b0728,[c],41.392,388,rich,27669.33095,0.22,,,,,,,,,,
sucd,b0729,[c],29.777,289,rich,19702.07637,0.22,,,,,,,,,,
cyda,b0733,[c],58.204,522,rich,1127.03399,0.22,,,,,,,,,,
cydb,b0734,[c],42.453,379,rich,,0.22,,,,,,,,,,
tolq,b0737,[u],25.597,230,rich,234.842497,0.22,,,,,,,,,,
tolr,b0738,[u],15.383,142,rich,,0.22,,,,,,,,,,
tola,b0739,[m],43.156,421,rich,,0.22,,,,,,,,,,
tolb,b0740,[u],45.955,430,rich,1364.348012,0.22,,,,,,,,,,
pal,b0741,[m],18.824,173,rich,11605.66629,0.22,,,,,,,,,,
ybgf,b0742,[s],28.231,263,rich,777.49413,0.22,,,,,,,,,,
nada,b0750,[h],38.24,347,rich,,0.22,,,,,,,,,,
ybgs,b0753,,12.872,126,rich,,0.22,,,,,,,,,,
arog,b0754,[e],38.009,350,rich,1674.379686,0.22,,,,,,,,,,
gpma,b0755,[g],28.556,250,rich,9247.110736,0.22,,,,,,,,,,
galm,b0756,[g],38.19,346,rich,742.8565806,0.22,,,,,,,,,,
galk,b0757,[g],41.442,382,rich,545.9431858,0.22,,,,,,,,,,
galt,b0758,[c],39.645,348,rich,,0.22,,,,,,,,,,
gale,b0759,,37.265,338,rich,662.3318255,0.22,,,,,,,,,,
modf,b0760,[p],54.535,490,rich,,0.22,,,,,,,,,,
mode,b0761,[r],28.281,262,rich,,0.22,,,,,,,,,,
moda,b0763,[p],27.364,257,rich,,0.22,,,,,,,,,,
modc,b0765,[p],39.102,352,rich,,0.22,,,,,,,,,,
ybha,b0766,[r],30.201,272,rich,,0.22,,,,,,,,,,
pgl,b0767,,36.307,331,rich,1424.058489,0.22,,,,,,,,,,
ybhc,b0772,[g],46.082,427,rich,462.0769067,0.22,,,,,,,,,,
ybhb,b0773,,17.085,158,rich,,0.22,,,,,,,,,,
bioa,b0774,[h],47.335,429,rich,,0.22,,,,,,,,,,
biob,b0775,[h],38.648,346,rich,,0.22,,,,,,,,,,
biod,b0778,[h],24.139,225,rich,,0.22,,,,,,,,,,
uvrb,b0779,[l],76.225,673,rich,,0.22,,,,,,,,,,
moab,b0782,[h],18.665,170,rich,1773.871861,0.22,,,,,,,,,,
moac,b0783,[h],17.467,161,rich,,0.22,,,,,,,,,,
moad,b0784,[h],8.7578,81,rich,,0.22,,,,,,,,,,
moae,b0785,[h],16.981,150,rich,261.4923411,0.22,,,,,,,,,,
ybhm,b0787,[r],26.123,237,rich,,0.22,,,,,,,,,,
ybhg,b0795,[m],36.415,332,rich,,0.22,,,,,,,,,,
rhle,b0797,[lkj],49.989,454,rich,,0.22,,,,,,,,,,
ybib,b0800,[e],35.048,320,rich,337.4732249,0.22,,,,,,,,,,
ybic,b0801,[c],38.897,361,rich,436.5553328,0.22,,,,,,,,,,
fiu,b0805,[p],81.959,760,rich,88.09586766,0.22,,,,,,,,,,
rlmf,b0807,,34.226,308,rich,,0.22,,,,,,,,,,
glnq,b0809,[e],26.731,240,rich,924.1150888,0.22,,,,,,,,,,
glnh,b0811,[et],27.19,248,rich,18306.7523,0.22,,,,,,,,,,
dps,b0812,[p],18.695,167,rich,30015.00453,0.22,,,,,,,,,,
ompx,b0814,[m],18.602,171,rich,2406.777731,0.22,,,,,,,,,,
ybis,b0819,[s],33.325,306,rich,1023.025902,0.22,,,,,,,,,,
ybit,b0820,[r],59.857,530,rich,195.8365854,0.22,,,,,,,,,,
ybiu,b0821,,47.329,421,rich,,0.22,,,,,,,,,,
ybiv,b0822,[r],30.412,271,rich,,0.22,,,,,,,,,,
moea,b0827,[h],44.067,411,rich,207.6874141,0.22,,,,,,,,,,
gsib,b0830,,56.47,512,rich,170.8320159,0.22,,,,,,,,,,
rimo,b0835,,49.581,441,rich,403.0559786,0.22,,,,,,,,,,
gstb,b0838,,23.713,208,rich,1250.002895,0.22,,,,,,,,,,
dacc,b0839,[m],43.608,400,rich,1193.855336,0.22,,,,,,,,,,
deor,b0840,,28.548,252,rich,,0.22,,,,,,,,,,
nfsa,b0851,[c],26.8,240,rich,,0.22,,,,,,,,,,
potf,b0854,[e],40.839,370,rich,1980.858904,0.22,,,,,,,,,,
potg,b0855,,41.93,377,rich,,0.22,,,,,,,,,,
artj,b0860,[et],26.829,243,rich,795.9554667,0.22,,,,,,,,,,
arti,b0863,[et],26.929,243,rich,1724.430047,0.22,,,,,,,,,,
artp,b0864,[e],27.022,242,rich,251.4874094,0.22,,,,,,,,,,
ybjp,b0865,,18.991,171,rich,3317.011081,0.22,,,,,,,,,,
ybjq,b0866,[s],11.437,107,rich,,0.22,,,,,,,,,,
ltae,b0870,[e],36.494,333,rich,,0.22,,,,,,,,,,
poxb,b0871,[eh],62.011,572,rich,532.6949301,0.22,,,,,,,,,,
maca,b0878,,40.623,371,rich,,0.22,,,,,,,,,,
cspd,b0880,[k],7.9689,74,rich,1554.350207,0.22,,,,,,,,,,
clps,b0881,,12.179,106,rich,,0.22,,,,,,,,,,
clpa,b0882,[o],84.206,758,rich,190.259849,0.22,,,,,,,,,,
infa,b0884,[j],8.2495,72,rich,2601.957383,0.22,,,,,,,,,,
cydc,b0886,[co],62.919,573,rich,,0.22,,,,,,,,,,
cydd,b0887,[co],65.055,588,rich,,0.22,,,,,,,,,,
trxb,b0888,[o],34.623,321,rich,1627.051218,0.22,,,,,,,,,,
lrp,b0889,[k],18.887,164,rich,7893.759771,0.22,,,,,,,,,,
lola,b0891,[m],22.497,203,rich,,0.22,,,,,,,,,,
sers,b0893,[j],48.413,430,rich,1663.098056,0.22,,,,,,,,,,
ycac,b0897,[q],23.1,208,rich,2584.632047,0.22,,,,,,,,,,
pfla,b0902,[o],28.204,246,rich,256.3927362,0.22,,,,,,,,,,
pflb,b0903,[c],85.356,760,rich,12622.80829,0.22,,,,,,,,,,
ycao,b0905,,65.651,586,rich,,0.22,,,,,,,,,,
serc,b0907,[he],39.783,362,rich,4954.678439,0.22,,,,,,,,,,
aroa,b0908,[e],46.095,427,rich,305.0546347,0.22,,,,,,,,,,
cmk,b0910,[f],24.746,227,rich,284.3708926,0.22,,,,,,,,,,
rpsa,b0911,[j],61.157,557,rich,13887.4115,0.22,,,,,,,,,,
ihfb,b0912,[l],10.651,94,rich,6428.768202,0.22,,,,,,,,,,
msba,b0914,[v],64.46,582,rich,57.6685809,0.22,,,,,,,,,,
ycar,b0917,[s],6.8549,60,rich,1366.706782,0.22,,,,,,,,,,
kdsb,b0918,[m],27.614,248,rich,290.1103101,0.22,,,,,,,,,,
mukf,b0922,[d],50.578,440,rich,,0.22,,,,,,,,,,
muke,b0923,[d],26.974,234,rich,,0.22,,,,,,,,,,
mukb,b0924,[d],170.23,1486,rich,98.94231081,0.22,,,,,,,,,,
ycbl,b0927,[r],23.784,215,rich,,0.22,,,,,,,,,,
aspc,b0928,[e],43.573,396,rich,9767.986014,0.22,,,,,,,,,,
ompf,b0929,[m],39.333,362,rich,64312.34338,0.22,,,,,,,,,,
asns,b0930,[j],52.57,466,rich,2285.849703,0.22,,,,,,,,,,
pncb,b0931,[h],45.897,400,rich,354.0138231,0.22,,,,,,,,,,
pepn,b0932,[e],98.918,870,rich,991.1724942,0.22,,,,,,,,,,
pyrd,b0945,[f],36.774,336,rich,204.7225529,0.22,,,,,,,,,,
ycbx,b0947,[r],40.644,369,rich,,0.22,,,,,,,,,,
uup,b0949,[r],72.066,635,rich,,0.22,,,,,,,,,,
pqib,b0951,[r],60.52,546,rich,,0.22,,,,,,,,,,
rmf,b0953,[j],6.5074,55,rich,,0.22,,,,,,,,,,
faba,b0954,[i],18.969,172,rich,10921.06979,0.22,,,,,,,,,,
ycbz,b0955,[o],65.818,586,rich,,0.22,,,,,,,,,,
matp,b0956,,17.693,150,rich,,0.22,,,,,,,,,,
ompa,b0957,[m],37.2,346,rich,67860.00133,0.22,,,,,,,,,,
yccf,b0961,[s],16.275,148,rich,,0.22,,,,,,,,,,
held,b0962,[l],77.975,684,rich,,0.22,,,,,,,,,,
mgsa,b0963,[g],16.918,152,rich,,0.22,,,,,,,,,,
yccu,b0965,,14.701,137,rich,885.2809505,0.22,,,,,,,,,,
rlmi,b0967,,44.356,396,rich,,0.22,,,,,,,,,,
tuse,b0969,,12.41,109,rich,,0.22,,,,,,,,,,
gfcd,b0984,,78.686,698,rich,56.29260682,0.22,,,,,,,,,,
cbpa,b1000,[o],34.455,306,rich,,0.22,,,,,,,,,,
agp,b1002,,45.682,413,rich,976.4021154,0.22,,,,,,,,,,
yccj,b1003,,8.5244,75,rich,928.6983852,0.22,,,,,,,,,,
wrba,b1004,[r],20.845,198,rich,6589.147852,0.22,,,,,,,,,,
puta,b1014,[e],143.81,1320,rich,,0.22,,,,,,,,,,
putp,b1015,[er],54.344,502,rich,,0.22,,,,,,,,,,
efeo,b1018,,41.137,375,rich,296.0682273,0.22,,,,,,,,,,
ghra,b1033,,35.343,312,rich,400.9083888,0.22,,,,,,,,,,
ycdx,b1034,[er],26.89,245,rich,188.1444028,0.22,,,,,,,,,,
ycdy,b1035,[r],20.724,184,rich,,0.22,,,,,,,,,,
ymdb,b1045,,18.88,177,rich,,0.22,,,,,,,,,,
opgg,b1048,,57.912,511,rich,1107.503356,0.22,,,,,,,,,,
opgh,b1049,,96.936,847,rich,,0.22,,,,,,,,,,
msyb,b1051,,14.259,124,rich,,0.22,,,,,,,,,,
ycei,b1056,[s],20.912,191,rich,212.4394279,0.22,,,,,,,,,,
sola,b1059,[e],40.902,372,rich,197.208851,0.22,,,,,,,,,,
pyrc,b1062,[f],38.827,348,rich,2069.636023,0.22,,,,,,,,,,
yceb,b1063,,20.5,186,rich,,0.22,,,,,,,,,,
grxb,b1064,[o],24.35,215,rich,2747.444559,0.22,,,,,,,,,,
yceh,b1067,[s],24.177,215,rich,,0.22,,,,,,,,,,
flgm,b1071,[knu],10.34,97,rich,,0.22,,,,,,,,,,
flge,b1076,[n],42.045,402,rich,,0.22,,,,,,,,,,
flgg,b1078,[n],27.744,260,rich,,0.22,,,,,,,,,,
flgh,b1079,[n],24.615,232,rich,,0.22,,,,,,,,,,
flgi,b1080,,38.169,365,rich,,0.22,,,,,,,,,,
rne,b1084,[j],118.2,1061,rich,763.8152057,0.22,,,,,,,,,,
