go_number,go_term,go_namespace,gene_name
GO:0000716,"transcription-coupled nucleotide-excision repair, DNA damage recognition",biological_process,mfd
GO:0006283,transcription-coupled nucleotide-excision repair,biological_process,mfd
GO:0043175,RNA polymerase core enzyme binding,molecular_function,mfd
GO:0015616,DNA translocase activity,molecular_function,mfd
GO:0005515,protein binding,molecular_function,mfd
GO:0005737,cytoplasm,cellular_component,mfd
GO:0016787,hydrolase activity,molecular_function,mfd
GO:0003676,nucleic acid binding,molecular_function,mfd
GO:0003684,damaged DNA binding,molecular_function,mfd
GO:0005829,cytosol,cellular_component,mfd
GO:0005524,ATP binding,molecular_function,mfd
GO:0003677,DNA binding,molecular_function,mfd
GO:0000166,nucleotide binding,molecular_function,mfd
GO:0006974,cellular response to DNA damage stimulus,biological_process,mglA
GO:0015592,methylgalactoside transmembrane transporter activity,molecular_function,mglA
GO:0015765,methylgalactoside transport,biological_process,mglA
GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component,mglA
GO:0016020,membrane,cellular_component,mglA
GO:0008643,carbohydrate transport,biological_process,mglA
GO:0043211,ATPase-coupled carbohydrate transmembrane transporter activity,molecular_function,mglA
GO:0016887,ATPase activity,molecular_function,mglA
GO:0015757,galactose transmembrane transport,biological_process,mglA
GO:0005354,galactose transmembrane transporter activity,molecular_function,mglA
GO:0005886,plasma membrane,cellular_component,mglA
GO:0016787,hydrolase activity,molecular_function,mglA
GO:0005524,ATP binding,molecular_function,mglA
GO:0000166,nucleotide binding,molecular_function,mglA
GO:0015407,ATPase-coupled monosaccharide transmembrane transporter activity,molecular_function,mglA
GO:0015757,galactose transmembrane transport,biological_process,mglB
GO:0015765,methylgalactoside transport,biological_process,mglB
GO:0005515,protein binding,molecular_function,mglB
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,mglB
GO:0046872,metal ion binding,molecular_function,mglB
GO:0042597,periplasmic space,cellular_component,mglB
GO:0008643,carbohydrate transport,biological_process,mglB
GO:0006935,chemotaxis,biological_process,mglB
GO:0030246,carbohydrate binding,molecular_function,mglB
GO:0006974,cellular response to DNA damage stimulus,biological_process,mglC
GO:0055085,transmembrane transport,biological_process,mglC
GO:0022857,transmembrane transporter activity,molecular_function,mglC
GO:0015765,methylgalactoside transport,biological_process,mglC
GO:0015592,methylgalactoside transmembrane transporter activity,molecular_function,mglC
GO:0015757,galactose transmembrane transport,biological_process,mglC
GO:0005354,galactose transmembrane transporter activity,molecular_function,mglC
GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component,mglC
GO:0005887,integral component of plasma membrane,cellular_component,mglC
GO:0005886,plasma membrane,cellular_component,mglC
GO:0016021,integral component of membrane,cellular_component,mglC
GO:0016020,membrane,cellular_component,mglC
GO:0008643,carbohydrate transport,biological_process,mglC
GO:0016829,lyase activity,molecular_function,mgsA
GO:0005829,cytosol,cellular_component,mgsA
GO:0019242,methylglyoxal biosynthetic process,biological_process,mgsA
GO:0008929,methylglyoxal synthase activity,molecular_function,mgsA
GO:0005737,cytoplasm,cellular_component,mgsA
GO:0015662,"ion transmembrane transporter activity, phosphorylative mechanism",molecular_function,mgtA
GO:0071286,cellular response to magnesium ion,biological_process,mgtA
GO:0005515,protein binding,molecular_function,mgtA
GO:0098655,cation transmembrane transport,biological_process,mgtA
GO:1903830,magnesium ion transmembrane transport,biological_process,mgtA
GO:0015693,magnesium ion transport,biological_process,mgtA
GO:0005886,plasma membrane,cellular_component,mgtA
GO:0046872,metal ion binding,molecular_function,mgtA
GO:0016787,hydrolase activity,molecular_function,mgtA
GO:0016021,integral component of membrane,cellular_component,mgtA
GO:0016020,membrane,cellular_component,mgtA
GO:0005524,ATP binding,molecular_function,mgtA
GO:0000166,nucleotide binding,molecular_function,mgtA
GO:0015444,"magnesium transmembrane transporter activity, phosphorylative mechanism",molecular_function,mgtA
GO:0043231,intracellular membrane-bounded organelle,cellular_component,mgtA
GO:0019829,ATPase-coupled cation transmembrane transporter activity,molecular_function,mgtA
GO:0071949,FAD binding,molecular_function,mhpA
GO:0019439,aromatic compound catabolic process,biological_process,mhpA
GO:0019622,3-(3-hydroxy)phenylpropionate catabolic process,biological_process,mhpA
GO:0008688,3-(3-hydroxyphenyl)propionate hydroxylase activity,molecular_function,mhpA
GO:0019380,3-phenylpropionate catabolic process,biological_process,mhpA
GO:0055114,oxidation-reduction process,biological_process,mhpA
GO:0016491,oxidoreductase activity,molecular_function,mhpA
GO:0016787,hydrolase activity,molecular_function,mhpC
GO:0019439,aromatic compound catabolic process,biological_process,mhpC
GO:0005737,cytoplasm,cellular_component,mhpC
GO:0003824,catalytic activity,molecular_function,mhpC
GO:0019380,3-phenylpropionate catabolic process,biological_process,mhpC
GO:0052823,"2-hydroxy-6-oxonona-2,4,7-trienedioate hydrolase activity",molecular_function,mhpC
GO:0018771,"2-hydroxy-6-oxonona-2,4-dienedioate hydrolase activity",molecular_function,mhpC
GO:0019622,3-(3-hydroxy)phenylpropionate catabolic process,biological_process,mhpC
GO:0019439,aromatic compound catabolic process,biological_process,mhpD
GO:0008684,2-oxopent-4-enoate hydratase activity,molecular_function,mhpD
GO:0005737,cytoplasm,cellular_component,mhpD
GO:0016829,lyase activity,molecular_function,mhpD
GO:0003824,catalytic activity,molecular_function,mhpD
GO:0019380,3-phenylpropionate catabolic process,biological_process,mhpD
GO:0042802,identical protein binding,molecular_function,mhpD
GO:0030145,manganese ion binding,molecular_function,mhpD
GO:0005515,protein binding,molecular_function,mhpE
GO:0030145,manganese ion binding,molecular_function,mhpE
GO:0016833,oxo-acid-lyase activity,molecular_function,mhpE
GO:0016829,lyase activity,molecular_function,mhpE
GO:0003824,catalytic activity,molecular_function,mhpE
GO:0019380,3-phenylpropionate catabolic process,biological_process,mhpE
GO:0046872,metal ion binding,molecular_function,mhpE
GO:0008701,4-hydroxy-2-oxovalerate aldolase activity,molecular_function,mhpE
GO:0019439,aromatic compound catabolic process,biological_process,mhpE
GO:0005515,protein binding,molecular_function,mhpF
GO:0008774,acetaldehyde dehydrogenase (acetylating) activity,molecular_function,mhpF
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",molecular_function,mhpF
GO:0016491,oxidoreductase activity,molecular_function,mhpF
GO:0051287,NAD binding,molecular_function,mhpF
GO:0019380,3-phenylpropionate catabolic process,biological_process,mhpF
GO:0055114,oxidation-reduction process,biological_process,mhpF
GO:0019439,aromatic compound catabolic process,biological_process,mhpF
GO:0006355,"regulation of transcription, DNA-templated",biological_process,mhpR
GO:0019439,aromatic compound catabolic process,biological_process,mhpR
GO:0003677,DNA binding,molecular_function,mhpR
GO:0045892,"negative regulation of transcription, DNA-templated",biological_process,mhpR
GO:0003700,DNA-binding transcription factor activity,molecular_function,mhpR
GO:1990497,regulation of cytoplasmic translation in response to stress,biological_process,miaA
GO:0016740,transferase activity,molecular_function,miaA
GO:0008033,tRNA processing,biological_process,miaA
GO:0034605,cellular response to heat,biological_process,miaA
GO:0006400,tRNA modification,biological_process,miaA
GO:0005524,ATP binding,molecular_function,miaA
GO:0000166,nucleotide binding,molecular_function,miaA
GO:0052381,tRNA dimethylallyltransferase activity,molecular_function,miaA
GO:0051301,cell division,biological_process,minC
GO:0051302,regulation of cell division,biological_process,minC
GO:0090529,cell septum assembly,biological_process,minC
GO:0000917,division septum assembly,biological_process,minC
GO:1901891,regulation of cell septum assembly,biological_process,minC
GO:0042802,identical protein binding,molecular_function,minC
GO:0060187,cell pole,cellular_component,minC
GO:0032955,regulation of division septum assembly,biological_process,minC
GO:0005515,protein binding,molecular_function,minC
GO:0051726,regulation of cell cycle,biological_process,minC
GO:0000902,cell morphogenesis,biological_process,minC
GO:0005829,cytosol,cellular_component,minC
GO:0005524,ATP binding,molecular_function,minD
GO:0016887,ATPase activity,molecular_function,minD
GO:0005886,plasma membrane,cellular_component,minD
GO:0000917,division septum assembly,biological_process,minD
GO:0007059,chromosome segregation,biological_process,minD
GO:0009898,cytoplasmic side of plasma membrane,cellular_component,minD
GO:0031226,intrinsic component of plasma membrane,cellular_component,minD
GO:0060187,cell pole,cellular_component,minD
GO:0051782,negative regulation of cell division,biological_process,minD
GO:0042802,identical protein binding,molecular_function,minD
GO:0005829,cytosol,cellular_component,minD
GO:0016020,membrane,cellular_component,minD
GO:0000166,nucleotide binding,molecular_function,minD
GO:0005515,protein binding,molecular_function,minD
GO:0051301,cell division,biological_process,minD
GO:0051302,regulation of cell division,biological_process,minE
GO:0032955,regulation of division septum assembly,biological_process,minE
GO:0000918,division septum site selection,biological_process,minE
GO:0051301,cell division,biological_process,minE
GO:0005886,plasma membrane,cellular_component,minE
GO:0005829,cytosol,cellular_component,minE
GO:0042802,identical protein binding,molecular_function,minE
GO:0005515,protein binding,molecular_function,minE
GO:0051302,regulation of cell division,biological_process,mioC
GO:0005829,cytosol,cellular_component,mioC
GO:0055114,oxidation-reduction process,biological_process,mioC
GO:0010181,FMN binding,molecular_function,mioC
GO:0042802,identical protein binding,molecular_function,mlc
GO:0005975,carbohydrate metabolic process,biological_process,mlc
GO:0005515,protein binding,molecular_function,mlc
GO:0046872,metal ion binding,molecular_function,mlc
GO:0003677,DNA binding,molecular_function,mlc
GO:0006351,"transcription, DNA-templated",biological_process,mlc
GO:0005737,cytoplasm,cellular_component,mlc
GO:0005887,integral component of plasma membrane,cellular_component,mltA
GO:0008933,lytic transglycosylase activity,molecular_function,mltA
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",molecular_function,mltA
GO:0036405,anchored component of cell outer membrane,cellular_component,mltA
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,mltA
GO:0000270,peptidoglycan metabolic process,biological_process,mltA
GO:0009253,peptidoglycan catabolic process,biological_process,mltA
GO:0005515,protein binding,molecular_function,mltA
GO:0071555,cell wall organization,biological_process,mltA
GO:0016020,membrane,cellular_component,mltA
GO:0019867,outer membrane,cellular_component,mltA
GO:0009254,peptidoglycan turnover,biological_process,mltA
GO:0016829,lyase activity,molecular_function,mltA
GO:0009279,cell outer membrane,cellular_component,mltA
GO:0036405,anchored component of cell outer membrane,cellular_component,mltB
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,mltB
GO:0008932,lytic endotransglycosylase activity,molecular_function,mltB
GO:0005515,protein binding,molecular_function,mltB
GO:0005509,calcium ion binding,molecular_function,mltB
GO:0031402,sodium ion binding,molecular_function,mltB
GO:0009253,peptidoglycan catabolic process,biological_process,mltB
GO:0071555,cell wall organization,biological_process,mltB
GO:0016829,lyase activity,molecular_function,mltB
GO:0016020,membrane,cellular_component,mltB
GO:0008933,lytic transglycosylase activity,molecular_function,mltB
GO:0009279,cell outer membrane,cellular_component,mltB
GO:0051301,cell division,biological_process,mltC
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,mltC
GO:0031225,anchored component of membrane,cellular_component,mltC
GO:0008932,lytic endotransglycosylase activity,molecular_function,mltC
GO:0009253,peptidoglycan catabolic process,biological_process,mltC
GO:0071555,cell wall organization,biological_process,mltC
GO:0000270,peptidoglycan metabolic process,biological_process,mltC
GO:0016998,cell wall macromolecule catabolic process,biological_process,mltC
GO:0016798,"hydrolase activity, acting on glycosyl bonds",molecular_function,mltC
GO:0008933,lytic transglycosylase activity,molecular_function,mltC
GO:0071236,cellular response to antibiotic,biological_process,mltC
GO:0034599,cellular response to oxidative stress,biological_process,mltC
GO:0016829,lyase activity,molecular_function,mltC
GO:0009279,cell outer membrane,cellular_component,mltC
GO:0016020,membrane,cellular_component,mltC
GO:1904047,S-adenosyl-L-methionine binding,molecular_function,moaA
GO:0061798,"GTP 3',8'-cyclase activity",molecular_function,moaA
GO:0009408,response to heat,biological_process,moaA
GO:0016829,lyase activity,molecular_function,moaA
GO:0019008,molybdopterin synthase complex,cellular_component,moaA
GO:0003824,catalytic activity,molecular_function,moaA
GO:0051539,"4 iron, 4 sulfur cluster binding",molecular_function,moaA
GO:0051536,iron-sulfur cluster binding,molecular_function,moaA
GO:0046872,metal ion binding,molecular_function,moaA
GO:0005525,GTP binding,molecular_function,moaA
GO:0000166,nucleotide binding,molecular_function,moaA
GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process,moaA
GO:0034214,protein hexamerization,biological_process,moaB
GO:0005829,cytosol,cellular_component,moaB
GO:0042802,identical protein binding,molecular_function,moaB
GO:0005525,GTP binding,molecular_function,moaB
GO:0000166,nucleotide binding,molecular_function,moaB
GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process,moaB
GO:0005515,protein binding,molecular_function,moaC
GO:0016829,lyase activity,molecular_function,moaC
GO:0061799,cyclic pyranopterin monophosphate synthase activity,molecular_function,moaC
GO:0042802,identical protein binding,molecular_function,moaC
GO:0034214,protein hexamerization,biological_process,moaC
GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process,moaC
GO:0005829,cytosol,cellular_component,moaD
GO:0000166,nucleotide binding,molecular_function,moaD
GO:0005515,protein binding,molecular_function,moaD
GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process,moaD
GO:0030366,molybdopterin synthase activity,molecular_function,moaE
GO:0016740,transferase activity,molecular_function,moaE
GO:0005515,protein binding,molecular_function,moaE
GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process,moaE
GO:0005829,cytosol,cellular_component,moaE
GO:0070568,guanylyltransferase activity,molecular_function,mobA
GO:0019720,Mo-molybdopterin cofactor metabolic process,biological_process,mobA
GO:1902758,bis(molybdopterin guanine dinucleotide)molybdenum biosynthetic process,biological_process,mobA
GO:0061603,molybdenum cofactor guanylyltransferase activity,molecular_function,mobA
GO:0000287,magnesium ion binding,molecular_function,mobA
GO:0003824,catalytic activity,molecular_function,mobA
GO:0046872,metal ion binding,molecular_function,mobA
GO:0016740,transferase activity,molecular_function,mobA
GO:0005515,protein binding,molecular_function,mobA
GO:0005737,cytoplasm,cellular_component,mobA
GO:0005525,GTP binding,molecular_function,mobA
GO:0000166,nucleotide binding,molecular_function,mobA
GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process,mobA
GO:0005515,protein binding,molecular_function,mobB
GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process,mobB
GO:0005525,GTP binding,molecular_function,mobB
GO:0000166,nucleotide binding,molecular_function,mobB
GO:0098656,anion transmembrane transport,biological_process,modA
GO:0046872,metal ion binding,molecular_function,modA
GO:0046687,response to chromate,biological_process,modA
GO:0030973,molybdate ion binding,molecular_function,modA
GO:0015412,ATPase-coupled molybdate transmembrane transporter activity,molecular_function,modA
GO:1901359,tungstate binding,molecular_function,modA
GO:0030151,molybdenum ion binding,molecular_function,modA
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,modA
GO:0015689,molybdate ion transport,biological_process,modA
GO:0042597,periplasmic space,cellular_component,modA
GO:0055085,transmembrane transport,biological_process,modB
GO:0005887,integral component of plasma membrane,cellular_component,modB
GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component,modB
GO:0015689,molybdate ion transport,biological_process,modB
GO:0015098,molybdate ion transmembrane transporter activity,molecular_function,modB
GO:0005886,plasma membrane,cellular_component,modB
GO:0016021,integral component of membrane,cellular_component,modB
GO:0016020,membrane,cellular_component,modB
GO:0098656,anion transmembrane transport,biological_process,modC
GO:0030001,metal ion transport,biological_process,modC
GO:0000041,transition metal ion transport,biological_process,modC
GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component,modC
GO:0042888,molybdenum ion transmembrane transporter activity,molecular_function,modC
GO:0016887,ATPase activity,molecular_function,modC
GO:0015689,molybdate ion transport,biological_process,modC
GO:0015098,molybdate ion transmembrane transporter activity,molecular_function,modC
GO:0005886,plasma membrane,cellular_component,modC
GO:0016020,membrane,cellular_component,modC
GO:0005524,ATP binding,molecular_function,modC
GO:0000166,nucleotide binding,molecular_function,modC
GO:0015412,ATPase-coupled molybdate transmembrane transporter activity,molecular_function,modC
GO:0046872,metal ion binding,molecular_function,modE
GO:0030151,molybdenum ion binding,molecular_function,modE
GO:0015689,molybdate ion transport,biological_process,modE
GO:0003700,DNA-binding transcription factor activity,molecular_function,modE
GO:0006355,"regulation of transcription, DNA-templated",biological_process,modE
GO:0005829,cytosol,cellular_component,modE
GO:0003677,DNA binding,molecular_function,modE
GO:0005737,cytoplasm,cellular_component,modE
GO:0055085,transmembrane transport,biological_process,modF
GO:0016887,ATPase activity,molecular_function,modF
GO:0005886,plasma membrane,cellular_component,modF
GO:0016020,membrane,cellular_component,modF
GO:0006974,cellular response to DNA damage stimulus,biological_process,modF
GO:0006281,DNA repair,biological_process,modF
GO:0005524,ATP binding,molecular_function,modF
GO:0000166,nucleotide binding,molecular_function,modF
GO:0042626,ATPase-coupled transmembrane transporter activity,molecular_function,modF
GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component,modF
GO:0042802,identical protein binding,molecular_function,moeA
GO:0061599,molybdopterin molybdotransferase activity,molecular_function,moeA
GO:0018315,molybdenum incorporation into molybdenum-molybdopterin complex,biological_process,moeA
GO:0032324,molybdopterin cofactor biosynthetic process,biological_process,moeA
GO:0005829,cytosol,cellular_component,moeA
GO:0016740,transferase activity,molecular_function,moeA
GO:0046872,metal ion binding,molecular_function,moeA
GO:0005515,protein binding,molecular_function,moeA
GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process,moeA
GO:0061598,molybdopterin adenylyltransferase activity,molecular_function,moeA
GO:0005737,cytoplasm,cellular_component,moeA
GO:0008641,ubiquitin-like modifier activating enzyme activity,molecular_function,moeB
GO:0005515,protein binding,molecular_function,moeB
GO:0061605,molybdopterin-synthase adenylyltransferase activity,molecular_function,moeB
GO:0005829,cytosol,cellular_component,moeB
GO:0046872,metal ion binding,molecular_function,moeB
GO:0016779,nucleotidyltransferase activity,molecular_function,moeB
GO:0016740,transferase activity,molecular_function,moeB
GO:0005524,ATP binding,molecular_function,moeB
GO:0000166,nucleotide binding,molecular_function,moeB
GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process,moeB
GO:0005737,cytoplasm,cellular_component,moeB
GO:0005515,protein binding,molecular_function,mog
GO:0042802,identical protein binding,molecular_function,mog
GO:0005829,cytosol,cellular_component,mog
GO:0061598,molybdopterin adenylyltransferase activity,molecular_function,mog
GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process,mog
GO:0032324,molybdopterin cofactor biosynthetic process,biological_process,mog
GO:0016740,transferase activity,molecular_function,mog
GO:0005524,ATP binding,molecular_function,mog
GO:0000166,nucleotide binding,molecular_function,mog
GO:0005886,plasma membrane,cellular_component,motA
GO:0016021,integral component of membrane,cellular_component,motA
GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,motA
GO:0120101,bacterial-type flagellum stator complex,cellular_component,motA
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,biological_process,motA
GO:0016020,membrane,cellular_component,motA
GO:0006935,chemotaxis,biological_process,motA
GO:0006811,ion transport,biological_process,motA
GO:0071978,bacterial-type flagellum-dependent swarming motility,biological_process,motA
GO:0005886,plasma membrane,cellular_component,motB
GO:0016021,integral component of membrane,cellular_component,motB
GO:0120101,bacterial-type flagellum stator complex,cellular_component,motB
GO:0005887,integral component of plasma membrane,cellular_component,motB
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,biological_process,motB
GO:0016020,membrane,cellular_component,motB
GO:0006935,chemotaxis,biological_process,motB
GO:0005737,cytoplasm,cellular_component,mpl
GO:0042802,identical protein binding,molecular_function,mpl
GO:0016874,ligase activity,molecular_function,mpl
GO:0009058,biosynthetic process,biological_process,mpl
GO:0009254,peptidoglycan turnover,biological_process,mpl
GO:0005576,extracellular region,cellular_component,mpl
GO:0051301,cell division,biological_process,mpl
GO:0009252,peptidoglycan biosynthetic process,biological_process,mpl
GO:0008360,regulation of cell shape,biological_process,mpl
GO:0071555,cell wall organization,biological_process,mpl
GO:0005524,ATP binding,molecular_function,mpl
GO:0000166,nucleotide binding,molecular_function,mpl
GO:0016881,acid-amino acid ligase activity,molecular_function,mpl
GO:0042939,tripeptide transport,biological_process,mppA
GO:0042597,periplasmic space,cellular_component,mppA
GO:1900750,oligopeptide binding,molecular_function,mppA
GO:0015834,peptidoglycan-associated peptide transport,biological_process,mppA
GO:0055085,transmembrane transport,biological_process,mppA
GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component,mppA
GO:0015833,peptide transport,biological_process,mppA
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,mppA
GO:0015031,protein transport,biological_process,mppA
GO:1904680,peptide transmembrane transporter activity,molecular_function,mppA
GO:0008963,phospho-N-acetylmuramoyl-pentapeptide-transferase activity,molecular_function,mraY
GO:0071555,cell wall organization,biological_process,mraY
GO:0016740,transferase activity,molecular_function,mraY
GO:0051992,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity",molecular_function,mraY
GO:0005886,plasma membrane,cellular_component,mraY
GO:0051301,cell division,biological_process,mraY
GO:0016021,integral component of membrane,cellular_component,mraY
GO:0016020,membrane,cellular_component,mraY
GO:0008360,regulation of cell shape,biological_process,mraY
GO:0009252,peptidoglycan biosynthetic process,biological_process,mraY
GO:0044038,cell wall macromolecule biosynthetic process,biological_process,mraY
GO:0005887,integral component of plasma membrane,cellular_component,mraY
GO:0016780,"phosphotransferase activity, for other substituted phosphate groups",molecular_function,mraY
GO:0008955,peptidoglycan glycosyltransferase activity,molecular_function,mrcA
GO:0009002,serine-type D-Ala-D-Ala carboxypeptidase activity,molecular_function,mrcA
GO:0008233,peptidase activity,molecular_function,mrcA
GO:0006508,proteolysis,biological_process,mrcA
GO:0004180,carboxypeptidase activity,molecular_function,mrcA
GO:0004185,serine-type carboxypeptidase activity,molecular_function,mrcA
GO:0071555,cell wall organization,biological_process,mrcA
GO:0071575,integral component of external side of plasma membrane,cellular_component,mrcA
GO:0016787,hydrolase activity,molecular_function,mrcA
GO:0016757,"transferase activity, transferring glycosyl groups",molecular_function,mrcA
GO:0016740,transferase activity,molecular_function,mrcA
GO:0016021,integral component of membrane,cellular_component,mrcA
GO:0016020,membrane,cellular_component,mrcA
GO:0008152,metabolic process,biological_process,mrcA
GO:0003824,catalytic activity,molecular_function,mrcA
GO:0005886,plasma membrane,cellular_component,mrcA
GO:0005515,protein binding,molecular_function,mrcA
GO:0046677,response to antibiotic,biological_process,mrcA
GO:0008658,penicillin binding,molecular_function,mrcA
GO:0008360,regulation of cell shape,biological_process,mrcA
GO:0009252,peptidoglycan biosynthetic process,biological_process,mrcA
GO:0008144,drug binding,molecular_function,mrcA
GO:0008955,peptidoglycan glycosyltransferase activity,molecular_function,mrcB
GO:0051518,positive regulation of bipolar cell growth,biological_process,mrcB
GO:0009002,serine-type D-Ala-D-Ala carboxypeptidase activity,molecular_function,mrcB
GO:0009252,peptidoglycan biosynthetic process,biological_process,mrcB
GO:0004180,carboxypeptidase activity,molecular_function,mrcB
GO:0071723,lipopeptide binding,molecular_function,mrcB
GO:0010165,response to X-ray,biological_process,mrcB
GO:0006508,proteolysis,biological_process,mrcB
GO:0005887,integral component of plasma membrane,cellular_component,mrcB
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,mrcB
GO:0071555,cell wall organization,biological_process,mrcB
GO:0009274,peptidoglycan-based cell wall,cellular_component,mrcB
GO:0016787,hydrolase activity,molecular_function,mrcB
GO:0016757,"transferase activity, transferring glycosyl groups",molecular_function,mrcB
GO:0016740,transferase activity,molecular_function,mrcB
GO:0008233,peptidase activity,molecular_function,mrcB
GO:0008152,metabolic process,biological_process,mrcB
GO:0003824,catalytic activity,molecular_function,mrcB
GO:0005515,protein binding,molecular_function,mrcB
GO:0005886,plasma membrane,cellular_component,mrcB
GO:0008144,drug binding,molecular_function,mrcB
GO:0046677,response to antibiotic,biological_process,mrcB
GO:0016021,integral component of membrane,cellular_component,mrcB
GO:0016020,membrane,cellular_component,mrcB
GO:0008658,penicillin binding,molecular_function,mrcB
GO:0008360,regulation of cell shape,biological_process,mrcB
GO:0071972,"peptidoglycan L,D-transpeptidase activity",molecular_function,mrdA
GO:0046677,response to antibiotic,biological_process,mrdA
GO:0005887,integral component of plasma membrane,cellular_component,mrdA
GO:0008658,penicillin binding,molecular_function,mrdA
GO:0008360,regulation of cell shape,biological_process,mrdA
GO:0016787,hydrolase activity,molecular_function,mrdA
GO:0008233,peptidase activity,molecular_function,mrdA
GO:0004180,carboxypeptidase activity,molecular_function,mrdA
GO:0016021,integral component of membrane,cellular_component,mrdA
GO:0006508,proteolysis,biological_process,mrdA
GO:0016020,membrane,cellular_component,mrdA
GO:0005886,plasma membrane,cellular_component,mrdA
GO:0008144,drug binding,molecular_function,mrdA
GO:0009002,serine-type D-Ala-D-Ala carboxypeptidase activity,molecular_function,mrdA
GO:0071555,cell wall organization,biological_process,mrdA
GO:0042493,response to drug,biological_process,mrdA
GO:0009252,peptidoglycan biosynthetic process,biological_process,mrdA
GO:0008360,regulation of cell shape,biological_process,mrdB
GO:0015836,lipid-linked peptidoglycan transport,biological_process,mrdB
GO:0005887,integral component of plasma membrane,cellular_component,mrdB
GO:0071555,cell wall organization,biological_process,mrdB
GO:0016757,"transferase activity, transferring glycosyl groups",molecular_function,mrdB
GO:0016740,transferase activity,molecular_function,mrdB
GO:0008955,peptidoglycan glycosyltransferase activity,molecular_function,mrdB
GO:0051301,cell division,biological_process,mrdB
GO:0009252,peptidoglycan biosynthetic process,biological_process,mrdB
GO:0005886,plasma membrane,cellular_component,mrdB
GO:0016021,integral component of membrane,cellular_component,mrdB
GO:0016020,membrane,cellular_component,mrdB
GO:0015648,lipid-linked peptidoglycan transporter activity,molecular_function,mrdB
GO:0032153,cell division site,cellular_component,mrdB
GO:0051983,regulation of chromosome segregation,biological_process,mreB
GO:0005737,cytoplasm,cellular_component,mreB
GO:0005524,ATP binding,molecular_function,mreB
GO:0000166,nucleotide binding,molecular_function,mreB
GO:0099513,polymeric cytoskeletal fiber,cellular_component,mreB
GO:0031226,intrinsic component of plasma membrane,cellular_component,mreB
GO:0043093,FtsZ-dependent cytokinesis,biological_process,mreB
GO:0005886,plasma membrane,cellular_component,mreB
GO:0042802,identical protein binding,molecular_function,mreB
GO:0051782,negative regulation of cell division,biological_process,mreB
GO:0000902,cell morphogenesis,biological_process,mreB
GO:0005515,protein binding,molecular_function,mreB
GO:0005856,cytoskeleton,cellular_component,mreB
GO:0008360,regulation of cell shape,biological_process,mreB
GO:0030288,outer membrane-bounded periplasmic space,cellular_component,mreC
GO:0005829,cytosol,cellular_component,mreC
GO:0071963,establishment or maintenance of cell polarity regulating cell shape,biological_process,mreC
GO:0005887,integral component of plasma membrane,cellular_component,mreC
GO:0016020,membrane,cellular_component,mreC
GO:0043621,protein self-association,molecular_function,mreC
GO:0016021,integral component of membrane,cellular_component,mreC
GO:0005886,plasma membrane,cellular_component,mreC
GO:0005515,protein binding,molecular_function,mreC
GO:0008360,regulation of cell shape,biological_process,mreC
GO:0005887,integral component of plasma membrane,cellular_component,mreD
GO:0005515,protein binding,molecular_function,mreD
GO:0005886,plasma membrane,cellular_component,mreD
GO:0016021,integral component of membrane,cellular_component,mreD
GO:0016020,membrane,cellular_component,mreD
GO:0008360,regulation of cell shape,biological_process,mreD
GO:0016887,ATPase activity,molecular_function,mrp
GO:0016787,hydrolase activity,molecular_function,mrp
GO:0046872,metal ion binding,molecular_function,mrp
GO:0051536,iron-sulfur cluster binding,molecular_function,mrp
GO:0005829,cytosol,cellular_component,mrp
GO:0005524,ATP binding,molecular_function,mrp
GO:0000166,nucleotide binding,molecular_function,mrp
GO:0051539,"4 iron, 4 sulfur cluster binding",molecular_function,mrp
GO:0016226,iron-sulfur cluster assembly,biological_process,mrp
