process_1,process_2,n_genes
Stress response,Queuosine biosynthesis,0
Stress response,Riboflavin biosynthesis,1
Stress response,Transcription termination,1
Stress response,mRNA processing,0
Stress response,Translocation,0
Stress response,Tryptophan catabolism,0
Stress response,Menaquinone biosynthesis,0
Stress response,Chromosome partition,0
Stress response,DNA integration,0
Stress response,Virulence,1
Stress response,Lipid degradation,0
Stress response,Cell adhesion,1
Stress response,Iron storage,0
Stress response,Cysteine biosynthesis,0
Stress response,Cobalamin biosynthesis,0
Stress response,Phenylalanine biosynthesis,0
Stress response,Phosphate transport,1
Stress response,Purine salvage,0
Stress response,Fucose metabolism,0
Stress response,Galactitol metabolism,0
Stress response,Serine biosynthesis,0
Stress response,Cytosine metabolism,0
Stress response,Peptide transport,1
Stress response,Arsenical resistance,0
Stress response,Plasmid copy control,0
Stress response,Respiratory chain,0
Stress response,Methotrexate resistance,0
Stress response,Trimethoprim resistance,0
Stress response,DNA condensation,0
Stress response,Flagellar rotation,0
Stress response,Quorum sensing,0
Stress response,Deoxyribonucleotide synthesis,0
Stress response,Detoxification,0
Stress response,Heme biosynthesis,0
Stress response,Isoprene biosynthesis,0
Stress response,Enterobactin biosynthesis,0
Stress response,Sulfate transport,0
Stress response,Bacterial flagellum biogenesis,0
Stress response,Bile acid catabolism,0
Stress response,Steroid metabolism,0
Stress response,Nickel transport,0
Stress response,Nitrogen fixation,0
Stress response,Thiamine biosynthesis,0
Stress response,Toxin-antitoxin system,3
Stress response,Transposition,0
Stress response,Lipid transport,0
Stress response,Hydrogen peroxide,0
Stress response,Capsule biogenesis/degradation,0
Stress response,Putrescine biosynthesis,0
Stress response,Maltose metabolism,0
Stress response,DNA synthesis,0
Stress response,Oxygen transport,0
Stress response,Arginine metabolism,1
Stress response,Tellurium resistance,0
Stress response,Ascorbate biosynthesis,0
Stress response,Fimbrium biogenesis,0
Stress response,Chromate resistance,0
Stress response,Zinc transport,0
Stress response,Cellulose biosynthesis,0
Stress response,Copper transport,0
Stress response,Autoinducer synthesis,0
Stress response,Bacterial flagellum protein export,0
Stress response,Exopolysaccharide synthesis,0
Stress response,Ammonia transport,0
Stress response,Virus entry into host cell,0
Stress response,Viral genome integration,0
Stress response,Purine metabolism,0
Stress response,PHB biosynthesis,0
Stress response,Polysaccharide degradation,0
Stress response,Xylan degradation,0
Pyridoxine biosynthesis,Restriction system,0
Pyridoxine biosynthesis,Iron transport,0
Pyridoxine biosynthesis,tRNA processing,0
Pyridoxine biosynthesis,Ribosome biogenesis,0
Pyridoxine biosynthesis,Glycolysis,0
Pyridoxine biosynthesis,RNA repair,0
Pyridoxine biosynthesis,Nucleotide metabolism,0
Pyridoxine biosynthesis,Porphyrin biosynthesis,0
Pyridoxine biosynthesis,Histidine biosynthesis,0
Pyridoxine biosynthesis,rRNA processing,0
Pyridoxine biosynthesis,Proline biosynthesis,0
Pyridoxine biosynthesis,Tyrosine biosynthesis,0
Pyridoxine biosynthesis,Sodium transport,0
Pyridoxine biosynthesis,Symport,0
Pyridoxine biosynthesis,Two-component regulatory system,0
Pyridoxine biosynthesis,Aromatic hydrocarbons catabolism,0
Pyridoxine biosynthesis,Glycogen biosynthesis,0
Pyridoxine biosynthesis,Glycogen metabolism,0
Pyridoxine biosynthesis,One-carbon metabolism,0
Pyridoxine biosynthesis,Glycerol metabolism,0
Pyridoxine biosynthesis,Glyoxylate bypass,0
Pyridoxine biosynthesis,Nitrate assimilation,0
Pyridoxine biosynthesis,Translation regulation,0
Pyridoxine biosynthesis,Galactose metabolism,0
Pyridoxine biosynthesis,Leucine biosynthesis,0
Pyridoxine biosynthesis,Polyamine biosynthesis,0
Pyridoxine biosynthesis,Spermidine biosynthesis,0
Pyridoxine biosynthesis,Glucose metabolism,0
Pyridoxine biosynthesis,Proline metabolism,0
Pyridoxine biosynthesis,Glutamate biosynthesis,0
Pyridoxine biosynthesis,DNA excision,0
Pyridoxine biosynthesis,Ubiquinone biosynthesis,0
Pyridoxine biosynthesis,Fatty acid biosynthesis,0
Pyridoxine biosynthesis,Fatty acid metabolism,0
Pyridoxine biosynthesis,Lipid metabolism,0
Pyridoxine biosynthesis,Lipid biosynthesis,0
Pyridoxine biosynthesis,DNA recombination,0
Pyridoxine biosynthesis,ATP synthesis,0
Pyridoxine biosynthesis,Hydrogen ion transport,0
Pyridoxine biosynthesis,Biotin biosynthesis,0
Pyridoxine biosynthesis,Pyridine nucleotide biosynthesis,0
Pyridoxine biosynthesis,Phospholipid biosynthesis,0
Pyridoxine biosynthesis,Phospholipid metabolism,0
Pyridoxine biosynthesis,Coenzyme A biosynthesis,0
Pyridoxine biosynthesis,Septation,0
Pyridoxine biosynthesis,Lipid A biosynthesis,0
Pyridoxine biosynthesis,Gluconeogenesis,0
Pyridoxine biosynthesis,Conjugation,0
Pyridoxine biosynthesis,Nucleotide biosynthesis,0
Pyridoxine biosynthesis,Molybdenum cofactor biosynthesis,0
Pyridoxine biosynthesis,Transcription antitermination,0
Pyridoxine biosynthesis,Pantothenate biosynthesis,0
Pyridoxine biosynthesis,Queuosine biosynthesis,0
Pyridoxine biosynthesis,Riboflavin biosynthesis,0
Pyridoxine biosynthesis,Transcription termination,0
Pyridoxine biosynthesis,mRNA processing,0
Pyridoxine biosynthesis,Translocation,0
Pyridoxine biosynthesis,Tryptophan catabolism,0
Pyridoxine biosynthesis,Menaquinone biosynthesis,0
Pyridoxine biosynthesis,Chromosome partition,0
Pyridoxine biosynthesis,DNA integration,0
Pyridoxine biosynthesis,Virulence,0
Pyridoxine biosynthesis,Lipid degradation,0
Pyridoxine biosynthesis,Cell adhesion,0
Pyridoxine biosynthesis,Iron storage,0
Pyridoxine biosynthesis,Cysteine biosynthesis,0
Pyridoxine biosynthesis,Cobalamin biosynthesis,0
Pyridoxine biosynthesis,Phenylalanine biosynthesis,0
Pyridoxine biosynthesis,Phosphate transport,0
Pyridoxine biosynthesis,Purine salvage,0
Pyridoxine biosynthesis,Fucose metabolism,0
Pyridoxine biosynthesis,Galactitol metabolism,0
Pyridoxine biosynthesis,Serine biosynthesis,1
Pyridoxine biosynthesis,Cytosine metabolism,0
Pyridoxine biosynthesis,Peptide transport,0
Pyridoxine biosynthesis,Arsenical resistance,0
Pyridoxine biosynthesis,Plasmid copy control,0
Pyridoxine biosynthesis,Respiratory chain,0
Pyridoxine biosynthesis,Methotrexate resistance,0
Pyridoxine biosynthesis,Trimethoprim resistance,0
Pyridoxine biosynthesis,DNA condensation,0
Pyridoxine biosynthesis,Flagellar rotation,0
Pyridoxine biosynthesis,Quorum sensing,0
Pyridoxine biosynthesis,Deoxyribonucleotide synthesis,0
Pyridoxine biosynthesis,Detoxification,0
Pyridoxine biosynthesis,Heme biosynthesis,0
Pyridoxine biosynthesis,Isoprene biosynthesis,0
Pyridoxine biosynthesis,Enterobactin biosynthesis,0
Pyridoxine biosynthesis,Sulfate transport,0
Pyridoxine biosynthesis,Bacterial flagellum biogenesis,0
Pyridoxine biosynthesis,Bile acid catabolism,0
Pyridoxine biosynthesis,Steroid metabolism,0
Pyridoxine biosynthesis,Nickel transport,0
Pyridoxine biosynthesis,Nitrogen fixation,0
Pyridoxine biosynthesis,Thiamine biosynthesis,0
Pyridoxine biosynthesis,Toxin-antitoxin system,0
Pyridoxine biosynthesis,Transposition,0
Pyridoxine biosynthesis,Lipid transport,0
Pyridoxine biosynthesis,Hydrogen peroxide,0
Pyridoxine biosynthesis,Capsule biogenesis/degradation,0
Pyridoxine biosynthesis,Putrescine biosynthesis,0
Pyridoxine biosynthesis,Maltose metabolism,0
Pyridoxine biosynthesis,DNA synthesis,0
Pyridoxine biosynthesis,Oxygen transport,0
Pyridoxine biosynthesis,Arginine metabolism,0
Pyridoxine biosynthesis,Tellurium resistance,0
Pyridoxine biosynthesis,Ascorbate biosynthesis,0
Pyridoxine biosynthesis,Fimbrium biogenesis,0
Pyridoxine biosynthesis,Chromate resistance,0
Pyridoxine biosynthesis,Zinc transport,0
Pyridoxine biosynthesis,Cellulose biosynthesis,0
Pyridoxine biosynthesis,Copper transport,0
Pyridoxine biosynthesis,Autoinducer synthesis,0
Pyridoxine biosynthesis,Bacterial flagellum protein export,0
Pyridoxine biosynthesis,Exopolysaccharide synthesis,0
Pyridoxine biosynthesis,Ammonia transport,0
Pyridoxine biosynthesis,Virus entry into host cell,0
Pyridoxine biosynthesis,Viral genome integration,0
Pyridoxine biosynthesis,Purine metabolism,0
Pyridoxine biosynthesis,PHB biosynthesis,0
Pyridoxine biosynthesis,Polysaccharide degradation,0
Pyridoxine biosynthesis,Xylan degradation,0
Restriction system,Iron transport,0
Restriction system,tRNA processing,0
Restriction system,Ribosome biogenesis,0
Restriction system,Glycolysis,0
Restriction system,RNA repair,0
Restriction system,Nucleotide metabolism,0
Restriction system,Porphyrin biosynthesis,0
Restriction system,Histidine biosynthesis,0
Restriction system,rRNA processing,0
Restriction system,Proline biosynthesis,0
Restriction system,Tyrosine biosynthesis,0
Restriction system,Sodium transport,0
Restriction system,Symport,0
Restriction system,Two-component regulatory system,0
Restriction system,Aromatic hydrocarbons catabolism,0
Restriction system,Glycogen biosynthesis,0
Restriction system,Glycogen metabolism,0
Restriction system,One-carbon metabolism,0
Restriction system,Glycerol metabolism,0
Restriction system,Glyoxylate bypass,0
Restriction system,Nitrate assimilation,0
Restriction system,Translation regulation,0
Restriction system,Galactose metabolism,0
Restriction system,Leucine biosynthesis,0
Restriction system,Polyamine biosynthesis,0
Restriction system,Spermidine biosynthesis,0
Restriction system,Glucose metabolism,0
Restriction system,Proline metabolism,0
Restriction system,Glutamate biosynthesis,0
Restriction system,DNA excision,0
Restriction system,Ubiquinone biosynthesis,0
Restriction system,Fatty acid biosynthesis,0
Restriction system,Fatty acid metabolism,0
Restriction system,Lipid metabolism,0
Restriction system,Lipid biosynthesis,0
Restriction system,DNA recombination,0
Restriction system,ATP synthesis,0
Restriction system,Hydrogen ion transport,0
Restriction system,Biotin biosynthesis,0
Restriction system,Pyridine nucleotide biosynthesis,0
Restriction system,Phospholipid biosynthesis,0
Restriction system,Phospholipid metabolism,0
Restriction system,Coenzyme A biosynthesis,0
Restriction system,Septation,0
Restriction system,Lipid A biosynthesis,0
Restriction system,Gluconeogenesis,0
Restriction system,Conjugation,0
Restriction system,Nucleotide biosynthesis,0
Restriction system,Molybdenum cofactor biosynthesis,0
Restriction system,Transcription antitermination,0
Restriction system,Pantothenate biosynthesis,0
Restriction system,Queuosine biosynthesis,0
Restriction system,Riboflavin biosynthesis,0
Restriction system,Transcription termination,0
Restriction system,mRNA processing,0
Restriction system,Translocation,0
Restriction system,Tryptophan catabolism,0
Restriction system,Menaquinone biosynthesis,0
Restriction system,Chromosome partition,0
Restriction system,DNA integration,0
Restriction system,Virulence,0
Restriction system,Lipid degradation,0
Restriction system,Cell adhesion,0
Restriction system,Iron storage,0
Restriction system,Cysteine biosynthesis,0
Restriction system,Cobalamin biosynthesis,0
Restriction system,Phenylalanine biosynthesis,0
Restriction system,Phosphate transport,0
Restriction system,Purine salvage,0
Restriction system,Fucose metabolism,0
Restriction system,Galactitol metabolism,0
Restriction system,Serine biosynthesis,0
Restriction system,Cytosine metabolism,0
Restriction system,Peptide transport,0
Restriction system,Arsenical resistance,0
Restriction system,Plasmid copy control,0
Restriction system,Respiratory chain,0
Restriction system,Methotrexate resistance,0
Restriction system,Trimethoprim resistance,0
Restriction system,DNA condensation,0
Restriction system,Flagellar rotation,0
Restriction system,Quorum sensing,0
Restriction system,Deoxyribonucleotide synthesis,0
Restriction system,Detoxification,0
Restriction system,Heme biosynthesis,0
Restriction system,Isoprene biosynthesis,0
Restriction system,Enterobactin biosynthesis,0
Restriction system,Sulfate transport,0
Restriction system,Bacterial flagellum biogenesis,0
Restriction system,Bile acid catabolism,0
Restriction system,Steroid metabolism,0
Restriction system,Nickel transport,0
Restriction system,Nitrogen fixation,0
Restriction system,Thiamine biosynthesis,0
Restriction system,Toxin-antitoxin system,0
Restriction system,Transposition,0
Restriction system,Lipid transport,0
Restriction system,Hydrogen peroxide,0
Restriction system,Capsule biogenesis/degradation,0
Restriction system,Putrescine biosynthesis,0
Restriction system,Maltose metabolism,0
Restriction system,DNA synthesis,0
Restriction system,Oxygen transport,0
Restriction system,Arginine metabolism,0
Restriction system,Tellurium resistance,0
Restriction system,Ascorbate biosynthesis,0
Restriction system,Fimbrium biogenesis,0
Restriction system,Chromate resistance,0
Restriction system,Zinc transport,0
Restriction system,Cellulose biosynthesis,0
Restriction system,Copper transport,0
Restriction system,Autoinducer synthesis,0
Restriction system,Bacterial flagellum protein export,0
Restriction system,Exopolysaccharide synthesis,0
Restriction system,Ammonia transport,0
Restriction system,Virus entry into host cell,0
Restriction system,Viral genome integration,0
Restriction system,Purine metabolism,0
Restriction system,PHB biosynthesis,0
Restriction system,Polysaccharide degradation,0
Restriction system,Xylan degradation,0
Iron transport,tRNA processing,0
Iron transport,Ribosome biogenesis,0
Iron transport,Glycolysis,0
Iron transport,RNA repair,0
Iron transport,Nucleotide metabolism,0
Iron transport,Porphyrin biosynthesis,0
Iron transport,Histidine biosynthesis,0
Iron transport,rRNA processing,0
Iron transport,Proline biosynthesis,0
Iron transport,Tyrosine biosynthesis,0
Iron transport,Sodium transport,0
Iron transport,Symport,0
Iron transport,Two-component regulatory system,0
Iron transport,Aromatic hydrocarbons catabolism,0
Iron transport,Glycogen biosynthesis,0
Iron transport,Glycogen metabolism,0
Iron transport,One-carbon metabolism,0
Iron transport,Glycerol metabolism,0
Iron transport,Glyoxylate bypass,0
Iron transport,Nitrate assimilation,0
Iron transport,Translation regulation,0
Iron transport,Galactose metabolism,0
Iron transport,Leucine biosynthesis,0
Iron transport,Polyamine biosynthesis,0
Iron transport,Spermidine biosynthesis,0
Iron transport,Glucose metabolism,0
Iron transport,Proline metabolism,0
Iron transport,Glutamate biosynthesis,0
Iron transport,DNA excision,0
Iron transport,Ubiquinone biosynthesis,0
Iron transport,Fatty acid biosynthesis,0
Iron transport,Fatty acid metabolism,0
Iron transport,Lipid metabolism,0
Iron transport,Lipid biosynthesis,0
Iron transport,DNA recombination,0
Iron transport,ATP synthesis,0
Iron transport,Hydrogen ion transport,0
Iron transport,Biotin biosynthesis,0
Iron transport,Pyridine nucleotide biosynthesis,0
Iron transport,Phospholipid biosynthesis,0
Iron transport,Phospholipid metabolism,0
Iron transport,Coenzyme A biosynthesis,0
Iron transport,Septation,0
Iron transport,Lipid A biosynthesis,0
Iron transport,Gluconeogenesis,0
Iron transport,Conjugation,0
Iron transport,Nucleotide biosynthesis,0
Iron transport,Molybdenum cofactor biosynthesis,0
Iron transport,Transcription antitermination,0
Iron transport,Pantothenate biosynthesis,0
Iron transport,Queuosine biosynthesis,0
Iron transport,Riboflavin biosynthesis,0
Iron transport,Transcription termination,0
Iron transport,mRNA processing,0
Iron transport,Translocation,0
Iron transport,Tryptophan catabolism,0
Iron transport,Menaquinone biosynthesis,0
Iron transport,Chromosome partition,0
Iron transport,DNA integration,0
Iron transport,Virulence,0
Iron transport,Lipid degradation,0
Iron transport,Cell adhesion,0
Iron transport,Iron storage,0
Iron transport,Cysteine biosynthesis,0
Iron transport,Cobalamin biosynthesis,0
Iron transport,Phenylalanine biosynthesis,0
Iron transport,Phosphate transport,0
Iron transport,Purine salvage,0
Iron transport,Fucose metabolism,0
Iron transport,Galactitol metabolism,0
Iron transport,Serine biosynthesis,0
Iron transport,Cytosine metabolism,0
Iron transport,Peptide transport,0
Iron transport,Arsenical resistance,0
Iron transport,Plasmid copy control,0
Iron transport,Respiratory chain,0
Iron transport,Methotrexate resistance,0
Iron transport,Trimethoprim resistance,0
Iron transport,DNA condensation,0
Iron transport,Flagellar rotation,0
Iron transport,Quorum sensing,0
Iron transport,Deoxyribonucleotide synthesis,0
Iron transport,Detoxification,0
Iron transport,Heme biosynthesis,0
Iron transport,Isoprene biosynthesis,0
Iron transport,Enterobactin biosynthesis,0
Iron transport,Sulfate transport,0
Iron transport,Bacterial flagellum biogenesis,0
Iron transport,Bile acid catabolism,0
Iron transport,Steroid metabolism,0
Iron transport,Nickel transport,0
Iron transport,Nitrogen fixation,0
Iron transport,Thiamine biosynthesis,0
Iron transport,Toxin-antitoxin system,0
Iron transport,Transposition,0
Iron transport,Lipid transport,0
Iron transport,Hydrogen peroxide,0
Iron transport,Capsule biogenesis/degradation,0
Iron transport,Putrescine biosynthesis,0
Iron transport,Maltose metabolism,0
Iron transport,DNA synthesis,0
Iron transport,Oxygen transport,0
Iron transport,Arginine metabolism,0
Iron transport,Tellurium resistance,0
Iron transport,Ascorbate biosynthesis,0
Iron transport,Fimbrium biogenesis,0
Iron transport,Chromate resistance,0
Iron transport,Zinc transport,0
Iron transport,Cellulose biosynthesis,0
Iron transport,Copper transport,0
Iron transport,Autoinducer synthesis,0
Iron transport,Bacterial flagellum protein export,0
Iron transport,Exopolysaccharide synthesis,0
Iron transport,Ammonia transport,0
Iron transport,Virus entry into host cell,0
Iron transport,Viral genome integration,0
Iron transport,Purine metabolism,0
Iron transport,PHB biosynthesis,0
Iron transport,Polysaccharide degradation,0
Iron transport,Xylan degradation,0
tRNA processing,Ribosome biogenesis,1
tRNA processing,Glycolysis,0
tRNA processing,RNA repair,1
tRNA processing,Nucleotide metabolism,0
tRNA processing,Porphyrin biosynthesis,0
tRNA processing,Histidine biosynthesis,0
tRNA processing,rRNA processing,6
tRNA processing,Proline biosynthesis,0
tRNA processing,Tyrosine biosynthesis,0
tRNA processing,Sodium transport,0
tRNA processing,Symport,0
tRNA processing,Two-component regulatory system,0
tRNA processing,Aromatic hydrocarbons catabolism,0
tRNA processing,Glycogen biosynthesis,0
tRNA processing,Glycogen metabolism,0
tRNA processing,One-carbon metabolism,0
tRNA processing,Glycerol metabolism,0
tRNA processing,Glyoxylate bypass,0
tRNA processing,Nitrate assimilation,0
tRNA processing,Translation regulation,0
tRNA processing,Galactose metabolism,0
tRNA processing,Leucine biosynthesis,0
tRNA processing,Polyamine biosynthesis,0
tRNA processing,Spermidine biosynthesis,0
tRNA processing,Glucose metabolism,0
tRNA processing,Proline metabolism,0
tRNA processing,Glutamate biosynthesis,0
tRNA processing,DNA excision,0
tRNA processing,Ubiquinone biosynthesis,0
tRNA processing,Fatty acid biosynthesis,0
tRNA processing,Fatty acid metabolism,0
tRNA processing,Lipid metabolism,0
tRNA processing,Lipid biosynthesis,0
tRNA processing,DNA recombination,0
tRNA processing,ATP synthesis,0
tRNA processing,Hydrogen ion transport,0
tRNA processing,Biotin biosynthesis,0
tRNA processing,Pyridine nucleotide biosynthesis,0
tRNA processing,Phospholipid biosynthesis,0
tRNA processing,Phospholipid metabolism,0
tRNA processing,Coenzyme A biosynthesis,0
tRNA processing,Septation,0
tRNA processing,Lipid A biosynthesis,0
tRNA processing,Gluconeogenesis,0
tRNA processing,Conjugation,0
tRNA processing,Nucleotide biosynthesis,0
tRNA processing,Molybdenum cofactor biosynthesis,0
tRNA processing,Transcription antitermination,0
tRNA processing,Pantothenate biosynthesis,0
tRNA processing,Queuosine biosynthesis,1
tRNA processing,Riboflavin biosynthesis,0
tRNA processing,Transcription termination,0
tRNA processing,mRNA processing,1
tRNA processing,Translocation,0
tRNA processing,Tryptophan catabolism,0
tRNA processing,Menaquinone biosynthesis,0
tRNA processing,Chromosome partition,0
tRNA processing,DNA integration,0
tRNA processing,Virulence,0
tRNA processing,Lipid degradation,0
tRNA processing,Cell adhesion,0
tRNA processing,Iron storage,0
tRNA processing,Cysteine biosynthesis,0
tRNA processing,Cobalamin biosynthesis,0
tRNA processing,Phenylalanine biosynthesis,0
tRNA processing,Phosphate transport,0
tRNA processing,Purine salvage,0
tRNA processing,Fucose metabolism,0
tRNA processing,Galactitol metabolism,0
tRNA processing,Serine biosynthesis,0
tRNA processing,Cytosine metabolism,0
tRNA processing,Peptide transport,0
tRNA processing,Arsenical resistance,0
tRNA processing,Plasmid copy control,0
tRNA processing,Respiratory chain,0
tRNA processing,Methotrexate resistance,0
tRNA processing,Trimethoprim resistance,0
tRNA processing,DNA condensation,0
tRNA processing,Flagellar rotation,0
tRNA processing,Quorum sensing,0
tRNA processing,Deoxyribonucleotide synthesis,0
tRNA processing,Detoxification,0
tRNA processing,Heme biosynthesis,0
tRNA processing,Isoprene biosynthesis,0
tRNA processing,Enterobactin biosynthesis,0
tRNA processing,Sulfate transport,0
tRNA processing,Bacterial flagellum biogenesis,0
tRNA processing,Bile acid catabolism,0
tRNA processing,Steroid metabolism,0
tRNA processing,Nickel transport,0
tRNA processing,Nitrogen fixation,0
tRNA processing,Thiamine biosynthesis,0
tRNA processing,Toxin-antitoxin system,0
tRNA processing,Transposition,0
tRNA processing,Lipid transport,0
tRNA processing,Hydrogen peroxide,0
tRNA processing,Capsule biogenesis/degradation,0
tRNA processing,Putrescine biosynthesis,0
tRNA processing,Maltose metabolism,0
tRNA processing,DNA synthesis,0
tRNA processing,Oxygen transport,0
tRNA processing,Arginine metabolism,0
tRNA processing,Tellurium resistance,0
tRNA processing,Ascorbate biosynthesis,0
tRNA processing,Fimbrium biogenesis,0
tRNA processing,Chromate resistance,0
tRNA processing,Zinc transport,0
tRNA processing,Cellulose biosynthesis,0
tRNA processing,Copper transport,0
tRNA processing,Autoinducer synthesis,0
tRNA processing,Bacterial flagellum protein export,0
tRNA processing,Exopolysaccharide synthesis,0
tRNA processing,Ammonia transport,0
tRNA processing,Virus entry into host cell,0
tRNA processing,Viral genome integration,0
tRNA processing,Purine metabolism,0
tRNA processing,PHB biosynthesis,0
tRNA processing,Polysaccharide degradation,0
tRNA processing,Xylan degradation,0
Ribosome biogenesis,Glycolysis,0
Ribosome biogenesis,RNA repair,0
Ribosome biogenesis,Nucleotide metabolism,0
Ribosome biogenesis,Porphyrin biosynthesis,0
Ribosome biogenesis,Histidine biosynthesis,0
Ribosome biogenesis,rRNA processing,2
Ribosome biogenesis,Proline biosynthesis,0
Ribosome biogenesis,Tyrosine biosynthesis,0
Ribosome biogenesis,Sodium transport,0
Ribosome biogenesis,Symport,0
Ribosome biogenesis,Two-component regulatory system,0
Ribosome biogenesis,Aromatic hydrocarbons catabolism,0
Ribosome biogenesis,Glycogen biosynthesis,0
Ribosome biogenesis,Glycogen metabolism,0
Ribosome biogenesis,One-carbon metabolism,0
Ribosome biogenesis,Glycerol metabolism,0
Ribosome biogenesis,Glyoxylate bypass,0
Ribosome biogenesis,Nitrate assimilation,0
Ribosome biogenesis,Translation regulation,0
Ribosome biogenesis,Galactose metabolism,0
Ribosome biogenesis,Leucine biosynthesis,0
Ribosome biogenesis,Polyamine biosynthesis,0
Ribosome biogenesis,Spermidine biosynthesis,0
Ribosome biogenesis,Glucose metabolism,0
Ribosome biogenesis,Proline metabolism,0
Ribosome biogenesis,Glutamate biosynthesis,0
Ribosome biogenesis,DNA excision,0
Ribosome biogenesis,Ubiquinone biosynthesis,0
Ribosome biogenesis,Fatty acid biosynthesis,0
Ribosome biogenesis,Fatty acid metabolism,0
Ribosome biogenesis,Lipid metabolism,0
Ribosome biogenesis,Lipid biosynthesis,0
Ribosome biogenesis,DNA recombination,0
Ribosome biogenesis,ATP synthesis,0
Ribosome biogenesis,Hydrogen ion transport,0
Ribosome biogenesis,Biotin biosynthesis,0
Ribosome biogenesis,Pyridine nucleotide biosynthesis,0
Ribosome biogenesis,Phospholipid biosynthesis,0
Ribosome biogenesis,Phospholipid metabolism,0
Ribosome biogenesis,Coenzyme A biosynthesis,0
Ribosome biogenesis,Septation,0
Ribosome biogenesis,Lipid A biosynthesis,0
Ribosome biogenesis,Gluconeogenesis,0
Ribosome biogenesis,Conjugation,0
Ribosome biogenesis,Nucleotide biosynthesis,0
Ribosome biogenesis,Molybdenum cofactor biosynthesis,0
Ribosome biogenesis,Transcription antitermination,0
Ribosome biogenesis,Pantothenate biosynthesis,0
Ribosome biogenesis,Queuosine biosynthesis,0
Ribosome biogenesis,Riboflavin biosynthesis,0
Ribosome biogenesis,Transcription termination,0
Ribosome biogenesis,mRNA processing,0
Ribosome biogenesis,Translocation,0
Ribosome biogenesis,Tryptophan catabolism,0
Ribosome biogenesis,Menaquinone biosynthesis,0
Ribosome biogenesis,Chromosome partition,0
Ribosome biogenesis,DNA integration,0
Ribosome biogenesis,Virulence,0
Ribosome biogenesis,Lipid degradation,0
Ribosome biogenesis,Cell adhesion,0
Ribosome biogenesis,Iron storage,0
Ribosome biogenesis,Cysteine biosynthesis,0
Ribosome biogenesis,Cobalamin biosynthesis,0
Ribosome biogenesis,Phenylalanine biosynthesis,0
Ribosome biogenesis,Phosphate transport,0
Ribosome biogenesis,Purine salvage,0
Ribosome biogenesis,Fucose metabolism,0
Ribosome biogenesis,Galactitol metabolism,0
Ribosome biogenesis,Serine biosynthesis,0
Ribosome biogenesis,Cytosine metabolism,0
Ribosome biogenesis,Peptide transport,0
Ribosome biogenesis,Arsenical resistance,0
Ribosome biogenesis,Plasmid copy control,0
Ribosome biogenesis,Respiratory chain,0
Ribosome biogenesis,Methotrexate resistance,0
Ribosome biogenesis,Trimethoprim resistance,0
Ribosome biogenesis,DNA condensation,0
Ribosome biogenesis,Flagellar rotation,0
Ribosome biogenesis,Quorum sensing,0
Ribosome biogenesis,Deoxyribonucleotide synthesis,0
Ribosome biogenesis,Detoxification,0
Ribosome biogenesis,Heme biosynthesis,0
Ribosome biogenesis,Isoprene biosynthesis,0
Ribosome biogenesis,Enterobactin biosynthesis,0
Ribosome biogenesis,Sulfate transport,0
Ribosome biogenesis,Bacterial flagellum biogenesis,0
Ribosome biogenesis,Bile acid catabolism,0
Ribosome biogenesis,Steroid metabolism,0
Ribosome biogenesis,Nickel transport,0
Ribosome biogenesis,Nitrogen fixation,0
Ribosome biogenesis,Thiamine biosynthesis,0
Ribosome biogenesis,Toxin-antitoxin system,0
Ribosome biogenesis,Transposition,0
Ribosome biogenesis,Lipid transport,0
Ribosome biogenesis,Hydrogen peroxide,0
Ribosome biogenesis,Capsule biogenesis/degradation,0
Ribosome biogenesis,Putrescine biosynthesis,0
Ribosome biogenesis,Maltose metabolism,0
Ribosome biogenesis,DNA synthesis,0
Ribosome biogenesis,Oxygen transport,0
Ribosome biogenesis,Arginine metabolism,0
Ribosome biogenesis,Tellurium resistance,0
Ribosome biogenesis,Ascorbate biosynthesis,0
Ribosome biogenesis,Fimbrium biogenesis,0
Ribosome biogenesis,Chromate resistance,0
Ribosome biogenesis,Zinc transport,0
Ribosome biogenesis,Cellulose biosynthesis,0
Ribosome biogenesis,Copper transport,0
Ribosome biogenesis,Autoinducer synthesis,0
Ribosome biogenesis,Bacterial flagellum protein export,0
Ribosome biogenesis,Exopolysaccharide synthesis,0
Ribosome biogenesis,Ammonia transport,0
Ribosome biogenesis,Virus entry into host cell,0
Ribosome biogenesis,Viral genome integration,0
Ribosome biogenesis,Purine metabolism,0
Ribosome biogenesis,PHB biosynthesis,0
Ribosome biogenesis,Polysaccharide degradation,0
Ribosome biogenesis,Xylan degradation,0
Glycolysis,RNA repair,0
Glycolysis,Nucleotide metabolism,0
Glycolysis,Porphyrin biosynthesis,0
Glycolysis,Histidine biosynthesis,0
Glycolysis,rRNA processing,0
Glycolysis,Proline biosynthesis,0
Glycolysis,Tyrosine biosynthesis,0
Glycolysis,Sodium transport,0
Glycolysis,Symport,0
Glycolysis,Two-component regulatory system,0
Glycolysis,Aromatic hydrocarbons catabolism,0
Glycolysis,Glycogen biosynthesis,0
Glycolysis,Glycogen metabolism,0
Glycolysis,One-carbon metabolism,0
Glycolysis,Glycerol metabolism,0
Glycolysis,Glyoxylate bypass,0
Glycolysis,Nitrate assimilation,0
Glycolysis,Translation regulation,0
Glycolysis,Galactose metabolism,0
Glycolysis,Leucine biosynthesis,0
Glycolysis,Polyamine biosynthesis,0
