,complex,gene,object_id
787,"acetohydroxy acid synthase I subunit IlvB // ""acetohydroxy acid synthase I subunit IlvN""",ilvN,ACETOLACTSYNI-CPLX
788,ketol-acid reductoisomerase (NADP$^+$),ilvC,CPLX0-7643
789,dihydroxy-acid dehydratase,ilvD,DIHYDROXYACIDDEHYDRAT-CPLX
790,branched-chain-amino-acid aminotransferase,ilvE,BRANCHED-CHAINAMINOTRANSFER-CPLX
791,"acetolactate synthase II subunit IlvG, N-terminal fragment (pseudogene) // ""acetolactate synthase II subunit IlvM""",ilvG,ACETOLACTSYNII-CPLX
792,"acetolactate synthase II subunit IlvG, N-terminal fragment (pseudogene) // ""acetolactate synthase II subunit IlvM""",ilvM,ACETOLACTSYNII-CPLX
793,"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit // ""acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit""",ilvI,ACETOLACTSYNIII-CPLX
794,"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit // ""acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit""",ilvH,ACETOLACTSYNIII-CPLX
795,IS2 insertion element repressor InsA,insC1,CPLX0-7417
796,iron-sulfur cluster insertion protein IscA,iscA,CPLX0-7908
797,cysteine desulfurase,iscS,CPLX0-248
798,{\it all-trans}-octaprenyl-diphosphate synthase,ispB,CPLX0-7426
799,2-{\it C}-methyl-D-erythritol 4-phosphate cytidylyltransferase,ispD,CPLX0-234
800,4-(cytidine 5'-diphospho)-2-{\it C}-methyl-D-erythritol kinase,ispE,CPLX0-3841
801,"2-{\it C}-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF,CPLX0-721
802,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,ispH,CPLX0-7564
803,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",ivy,CPLX0-921
804,catalase HPII,katE,HYDROPEROXIDII-CPLX
805,catalase/hydroperoxidase HPI,katG,HYDROPEROXIDI-CPLX
806,"tagatose-1,6-bisphosphate aldolase 1",kbaY,CPLX0-240
807,"tagatose-1,6-bisphosphate aldolase 1",kbaZ,CPLX0-240
808,2-amino-3-ketobutyrate CoA ligase,kbl,AKBLIG-CPLX
809,voltage-gated K$^+$ channel,kch,CPLX0-7674
810,sensory histidine kinase KdpD,kdpD,KDPD-CPLX
811,KdpE-Phosphorylated DNA-binding transcriptional activator,kdpE,CPLX0-7795
812,K$^+$ transporting P-type ATPase,kdpF,ATPASE-1-CPLX
813,K$^+$ transporting P-type ATPase,kdpA,ATPASE-1-CPLX
814,K$^+$ transporting P-type ATPase,kdpB,ATPASE-1-CPLX
815,K$^+$ transporting P-type ATPase,kdpC,ATPASE-1-CPLX
816,3-deoxy-D-{\it manno}-octulosonate 8-phosphate synthase,kdsA,KDO-8PSYNTH-CPLX
817,3-deoxy-D-{\it manno}-octulosonate 8-phosphate phosphatase KdsC,kdsC,KDO-8PPHOSPHAT-CPLX
818,D-arabinose 5-phosphate isomerase KdsD,kdsD,CPLX0-1262
819,5-dehydro-4-deoxy-{\small D}-glucuronate isomerase,kduI,CPLX-8401
820,K$^+$ : H$^+$ antiporter KefC,kefC,CPLX0-7819
821,regulator of KefC-mediated potassium transport and quinone oxidoreductase,kefF,CPLX0-7939
822,galactoside {\it O}-acetyltransferase,lacA,GALACTOACETYLTRAN-CPLX
823,$\beta$-galactosidase,lacZ,BETAGALACTOSID-CPLX
824,maltose outer membrane channel / phage lambda receptor protein,lamB,CPLX0-7655
825,lysine decarboxylase 2,ldcC,LDC2-CPLX
826,D-lactate dehydrogenase,ldhA,CPLX0-8158
827,3-isopropylmalate dehydrogenase,leuB,3-ISOPROPYLMALDEHYDROG-CPLX
828,3-isopropylmalate dehydratase,leuC,3-ISOPROPYLMALISOM-CPLX
829,3-isopropylmalate dehydratase,leuD,3-ISOPROPYLMALISOM-CPLX
830,DNA-binding transcriptional repressor LexA,lexA,PC00010
831,lipoyl synthase,lipA,CPLX0-782
832,branched chain amino acid / phenylalanine ABC transporter,livF,ABC-15-CPLX
833,branched chain amino acid / phenylalanine ABC transporter,livG,ABC-15-CPLX
834,branched chain amino acid / phenylalanine ABC transporter,livH,ABC-15-CPLX
835,branched chain amino acid / phenylalanine ABC transporter,livM,ABC-15-CPLX
836,branched chain amino acid / phenylalanine ABC transporter,livJ,ABC-15-CPLX
837,leucine / L-phenylalanine ABC transporter,livK,ABC-304-CPLX
838,leucine / L-phenylalanine ABC transporter,livM,ABC-304-CPLX
839,leucine / L-phenylalanine ABC transporter,livH,ABC-304-CPLX
840,leucine / L-phenylalanine ABC transporter,livG,ABC-304-CPLX
841,leucine / L-phenylalanine ABC transporter,livF,ABC-304-CPLX
842,lipoprotein release complex,lolE,ABC-62-CPLX
843,lipoprotein release complex,lolD,ABC-62-CPLX
844,lipoprotein release complex,lolC,ABC-62-CPLX
845,Lon protease,lon,CPLX0-2881
846,lipoamide dehydrogenase,lpd,E3-CPLX
847,glycine cleavage system,lpd,GCVMULTI-CPLX
848,glycine cleavage system,gcvP,GCVMULTI-CPLX
849,glycine cleavage system,gcvH,GCVMULTI-CPLX
850,glycine cleavage system,gcvT,GCVMULTI-CPLX
851,murein lipoprotein,lpp,CPLX0-8279
852,lipopolysaccharide transport system - outer membrane assembly complex,lptD,CPLX0-7628
853,lipopolysaccharide transport system - outer membrane assembly complex,lptE,CPLX0-7628
854,lipopolysaccharide transport system,lptE,CPLX0-7992
855,lipopolysaccharide transport system,lptD,CPLX0-7992
856,lipopolysaccharide transport system,lptG,CPLX0-7992
857,lipopolysaccharide transport system,lptC,CPLX0-7992
858,lipopolysaccharide transport system,lptA,CPLX0-7992
859,lipopolysaccharide transport system,lptB,CPLX0-7992
860,lipopolysaccharide transport system,lptF,CPLX0-7992
861,acyl-[acyl-carrier-protein]$\mdash$UDP-{\it N}-acetylglucosamine {\it O}-acyltransferase,lpxA,UDPNACETYLGLUCOSAMACYLTRANS-CPLX
862,lipid A disaccharide synthase,lpxB,CPLX0-7415
863,UDP-3-{\it O}-(3-hydroxymyristoyl)glucosamine {\it N}-acyltransferase,lpxD,CPLX0-8016
864,"Autoinducer-2 ABC transporter periplasmic binding protein // ""Autoinducer-2 ABC transporter membrane subunit LsrD"" // ""Autoinducer-2 ABC transporter membrane subunit LsrC"" // ""Autoinducer-2 ABC transporter ATP binding subunit""",lsrB,ABC-58-CPLX
865,"Autoinducer-2 ABC transporter periplasmic binding protein // ""Autoinducer-2 ABC transporter membrane subunit LsrD"" // ""Autoinducer-2 ABC transporter membrane subunit LsrC"" // ""Autoinducer-2 ABC transporter ATP binding subunit""",lsrD,ABC-58-CPLX
866,"Autoinducer-2 ABC transporter periplasmic binding protein // ""Autoinducer-2 ABC transporter membrane subunit LsrD"" // ""Autoinducer-2 ABC transporter membrane subunit LsrC"" // ""Autoinducer-2 ABC transporter ATP binding subunit""",lsrC,ABC-58-CPLX
867,"Autoinducer-2 ABC transporter periplasmic binding protein // ""Autoinducer-2 ABC transporter membrane subunit LsrD"" // ""Autoinducer-2 ABC transporter membrane subunit LsrC"" // ""Autoinducer-2 ABC transporter ATP binding subunit""",lsrA,ABC-58-CPLX
868,"3-hydroxy-2,4-pentadione 5-phosphate thiolase",lsrF,CPLX0-7820
869,DNA-binding transcriptional repressor LsrR,lsrR,CPLX0-8043
870,low-specificity L-threonine aldolase,ltaE,LTAA-CPLX
871,diaminopimelate decarboxylase,lysA,DIAMINOPIMDECARB-CPLX
872,aspartate kinase III,lysC,ASPKINIII-CPLX
873,"lysine$\mdash$tRNA ligase, constitutive",lysS,LYSS-CPLX
874,lysine$\mdash$tRNA ligase/Ap$_{4}$A synthetase/Ap$_{3}$A synthetase,lysU,LYSU-CPLX
875,L-xylulose kinase,lyxK,LYXK-CPLX
876,maltose {\it O}-acetyltransferase,maa,MALTACETYLTRAN-CPLX
877,NAD$^+$-dependent malate dehydrogenase,maeA,MALIC-NAD-CPLX
878,NADP$^+$-dependent malate dehydrogenase,maeB,MALIC-NADP-CPLX
879,maltose ABC transporter,malK,ABC-16-CPLX
880,maltose ABC transporter,malF,ABC-16-CPLX
881,maltose ABC transporter,malG,ABC-16-CPLX
882,maltose ABC transporter,malE,ABC-16-CPLX
883,maltodextrin phosphorylase,malP,MALDEXPHOSPHORYL-CPLX
884,negative regulator of MalT activity/cystathionine $\beta$-lyase,malY,CPLX0-8092
885,mannose-specific PTS enzyme IIAB component,manX,CPLX0-7921
886,mannose-specific PTS enzyme II,manZ,CPLX-165
887,mannose-specific PTS enzyme II,manY,CPLX-165
888,mannose-specific PTS enzyme II,manX,CPLX-165
889,DNA-binding transcriptional repressor MarR,marR,CPLX0-7710
890,macrodomain Ter protein,matP,CPLX0-7789
891,MazE antitoxin of the MazF-MazE toxin-antitoxin system / DNA-binding transcriptional repressor,mazE,CPLX0-841
892,MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity,mazF,CPLX0-1241
893,MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor,mazF,CPLX0-1242
894,MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor,mazE,CPLX0-1242
895,nucleoside triphosphate pyrophosphohydrolase,mazG,CPLX0-7692
896,McrBC restriction endonuclease,mcrB,CPLX0-2661
897,McrBC restriction endonuclease,mcrC,CPLX0-2661
898,NADPH:quinone oxidoreductase MdaB,mdaB,CPLX0-253
899,malate dehydrogenase,mdh,MALATE-DEHASE
900,multidrug/spermidine efflux pump,mdtJ,YDGEF-CPLX
901,multidrug/spermidine efflux pump,mdtI,YDGEF-CPLX
902,putative multidrug efflux pump MdtNOP,mdtP,CPLX0-7807
903,putative multidrug efflux pump MdtNOP,mdtO,CPLX0-7807
904,putative multidrug efflux pump MdtNOP,mdtN,CPLX0-7807
905,$\alpha$-galactosidase,melA,ALPHAGALACTOSID-CPLX
906,"1,4-dihydroxy-2-naphthoyl-CoA synthase",menB,CPLX0-7882
907,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,menD,CPLX0-7525
908,{\it o}-succinylbenzoate$\mdash$CoA ligase,menE,MENE-CPLX
909,isochorismate synthase MenF,menF,MENF-CPLX
910,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",menI,CPLX0-8128
911,peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,mepA,CPLX0-3201
912,homoserine {\it O}-succinyltransferase,metA,HOMSUCTRAN-CPLX
913,{\it O}-succinylhomoserine(thiol)-lyase / {\it O}-succinylhomoserine lyase,metB,O-SUCCHOMOSERLYASE-CPLX
914,cystathionine $\beta$-lyase / L-cysteine desulfhydrase / alanine racemase,metC,CYSTATHIONINE-BETA-LYASE-CPLX
915,"5,10-methylenetetrahydrofolate reductase",metF,METHYLENETHFREDUCT-CPLX
916,methionine$\mdash$tRNA ligase,metG,METG-CPLX
917,MetJ-S-adenosylmethionine DNA-binding transcriptional repressor,metJ,CPLX0-7796
918,methionine adenosyltransferase,metK,S-ADENMETSYN-CPLX
919,fused aspartate kinase/homoserine dehydrogenase 2,metL,ASPKINIIHOMOSERDEHYDROGII-CPLX
920,L-methionine/D-methionine ABC transporter,metN,METNIQ-METHIONINE-ABC-CPLX
921,L-methionine/D-methionine ABC transporter,metI,METNIQ-METHIONINE-ABC-CPLX
922,L-methionine/D-methionine ABC transporter,metQ,METNIQ-METHIONINE-ABC-CPLX
923,DNA-binding transcriptional dual regulator MetR,metR,CPLX0-7759
924,D-galactose / methyl-$\beta$-D-galactoside ABC transporter,mglA,ABC-18-CPLX
925,D-galactose / methyl-$\beta$-D-galactoside ABC transporter,mglC,ABC-18-CPLX
926,D-galactose / methyl-$\beta$-D-galactoside ABC transporter,mglB,ABC-18-CPLX
927,methylglyoxal synthase,mgsA,METHGLYSYN-CPLX
928,"3-carboxyethylcatechol 2,3-dioxygenase",mhpB,DHPDIOXYGEN-CPLX
929,2-hydroxy-6-oxononatrienedioate hydrolase,mhpC,CPLX0-7950
930,2-hydroxypentadienoate hydratase,mhpD,CPLX0-7951
931,Z-ring positioning protein MinC,minC,CPLX0-8196
932,Z-ring inhibitor complex MinCD,minD,CPLX0-8188
933,Z-ring inhibitor complex MinCD,minC,CPLX0-8188
934,intermembrane phospholipid transport system,mlaB,ABC-45-CPLX
935,intermembrane phospholipid transport system,mlaD,ABC-45-CPLX
936,intermembrane phospholipid transport system,mlaE,ABC-45-CPLX
937,intermembrane phospholipid transport system,mlaF,ABC-45-CPLX
938,L-amino acid N-acyltransferase,mnaT,CPLX0-7962
939,DNA-binding transcriptional repressor MngR,mngR,PC00103
940,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,mnmE,CPLX0-7608
941,"5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit // ""5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG""",mnmE,CPLX0-7609
942,"5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit // ""5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG""",mnmG,CPLX0-7609
943,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,mnmG,CPLX0-7597
944,MntR-Mn$^2+$ DNA-binding transcriptional dual regulator,mntR,CPLX0-7672
945,protein MoaB,moaB,CPLX0-2521
946,cyclic pyranopterin monophosphate synthase,moaC,CPLX-8331
947,molybdopterin synthase,moaD,CPLX0-2502
948,molybdopterin synthase,moaE,CPLX0-2502
949,molybdopterin-guanine dinucleotide biosynthesis adaptor protein,mobB,CPLX0-8044
950,molybdate ABC transporter,modC,ABC-19-CPLX
951,molybdate ABC transporter,modB,ABC-19-CPLX
952,molybdate ABC transporter,modA,ABC-19-CPLX
953,DNA-binding transcriptional dual regulator ModE,modE,CPLX0-2541
954,molybdopterin molybdotransferase,moeA,CPLX0-8045
955,molybdopterin-synthase adenylyltransferase,moeB,CPLX0-8164
956,molybdopterin adenylyltransferase,mog,CPLX0-8163
957,murein tripeptide amidase A,mpaA,CPLX0-7989
958,DNA-binding transcriptional repressor MprA,mprA,CPLX0-7418
959,MqsA-MqsR antitoxin/toxin complex,mqsA,CPLX0-7822
960,MqsA-MqsR antitoxin/toxin complex,mqsR,CPLX0-7822
961,peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA,mrcA,CPLX0-7717
962,PBP1B$\gamma$,mrcB,CPLX0-8300
963,ATP-dependent Lipid A-core flippase,msbA,CPLX0-7704
964,large conductance mechanosensitive channel,mscL,CPLX0-7627
965,miniconductance mechanosensitive channel MscM,mscM,CPLX0-7985
966,small conductance mechanosensitive channel MscS,mscS,CPLX0-7626
967,free methionine-({\it R})-sulfoxide reductase,msrC,CPLX0-8217
968,periplasmic protein-L-methionine sulfoxide reducing system,msrQ,CPLX0-8213
969,periplasmic protein-L-methionine sulfoxide reducing system,msrP,CPLX0-8213
970,mannitol-specific PTS enzyme II,mtlA,CPLX-166
971,MtlR-HPr,mtlR,MONOMER0-2461
972,MtlR-HPr,ptsH,MONOMER0-2461
973,5'-methylthioadenosine/{\it S}-adenosylhomocysteine nucleosidase,mtn,CPLX0-1541
974,chromosome partitioning protein MukB,mukB,CPLX0-7696
975,bacterial condensin MukBEF,mukB,CPLX0-2561
976,bacterial condensin MukBEF,mukF,CPLX0-2561
977,bacterial condensin MukBEF,mukE,CPLX0-2561
978,MukEF complex,mukE,CPLX0-7697
979,MukEF complex,mukF,CPLX0-7697
980,MukF dimer,mukF,CPLX0-7698
981,UDP-{\it N}-acetylmuramate$\mdash$L-alanine ligase,murC,CPLX0-8014
982,N-acetylmuramic acid-specific PTS enzyme II,murP,CPLX0-7
983,N-acetylmuramic acid-specific PTS enzyme II,crr,CPLX0-7
984,{\it N}-acetylmuramic acid 6-phosphate etherase,murQ,CPLX0-7732
985,DNA-binding transcriptional dual regulator MurR,murR,CPLX0-7745
986,"MutHLS complex, methyl-directed mismatch repair",mutL,MUTHLS-CPLX
987,"MutHLS complex, methyl-directed mismatch repair",mutS,MUTHLS-CPLX
988,"MutHLS complex, methyl-directed mismatch repair",mutH,MUTHLS-CPLX
989,quinolinate synthase,nadA,CPLX0-7719
990,quinolinate phosphoribosyltransferase (decarboxylating),nadC,QUINOPRIBOTRANS-CPLX
991,"NAD synthetase, NH$_{3}$-dependent",nadE,NAD-SYNTH-CPLX
992,NAD kinase,nadK,CPLX0-682
993,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,nadR,CPLX0-7975
994,{\it N}-acetylglucosamine-6-phosphate deacetylase,nagA,NAG6PDEACET-CPLX
995,glucosamine-6-phosphate deaminase,nagB,GLUCOSAMINE-6-P-DEAMIN-CPLX
996,N-acetylglucosamine-specific PTS enzyme II,nagE,CPLX-167
997,{\it N}-acetylneuraminate lyase,nanA,ACNEULY-CPLX
998,{\it N}-acetylneuraminate mutarotase,nanM,CPLX0-7658
999,periplasmic nitrate reductase,napB,NAP-CPLX
1000,periplasmic nitrate reductase,napA,NAP-CPLX
1001,ubiquinol$\mdash$[NapC cytochrome {\it c}] reductase NapGH,napG,CPLX0-3241
1002,ubiquinol$\mdash$[NapC cytochrome {\it c}] reductase NapGH,napH,CPLX0-3241
1003,nitrate reductase A,narG,NITRATREDUCTA-CPLX
1004,nitrate reductase A,narH,NITRATREDUCTA-CPLX
1005,nitrate reductase A,narI,NITRATREDUCTA-CPLX
1006,sensory histidine kinase NarQ,narQ,NARQ-CPLX
1007,sensory histidine kinase NarX,narX,NARX-CPLX
1008,nitrate reductase Z,narY,NITRATREDUCTZ-CPLX
1009,nitrate reductase Z,narZ,NITRATREDUCTZ-CPLX
1010,nitrate reductase Z,narV,NITRATREDUCTZ-CPLX
1011,nucleoside diphosphate kinase,ndk,NUCLEOSIDE-DIP-KIN-CPLX
1012,NADPH-dependent nitroreductase NfsA,nfsA,CPLX0-244
1013,NAD(P)H nitroreductase NfsB,nfsB,DIHYDROPTERIREDUCT-CPLX
1014,iron-sulfur cluster carrier protein NfuA,nfuA,CPLX0-7682
1015,Na$^+$:H$^+$ antiporter NhaA,nhaA,CPLX0-7629
1016,arylamine {\it N}-acetyltransferase,nhoA,CPLX0-236
1017,Ni(2+) ABC transporter,nikD,ABC-20-CPLX
1018,Ni(2+) ABC transporter,nikE,ABC-20-CPLX
1019,Ni(2+) ABC transporter,nikB,ABC-20-CPLX
1020,Ni(2+) ABC transporter,nikC,ABC-20-CPLX
1021,Ni(2+) ABC transporter,nikA,ABC-20-CPLX
1022,NikR-Ni DNA-binding transcriptional repressor,nikR,CPLX0-7707
1023,"nitrite reductase subunit NirD // ""nitrite reductase catalytic subunit NirB""",nirD,NITRITREDUCT-CPLX
1024,"nitrite reductase subunit NirD // ""nitrite reductase catalytic subunit NirB""",nirB,NITRITREDUCT-CPLX
1025,lipoprotein NlpI,nlpI,CPLX0-8198
1026,reduced flavorubredoxin,norV,CPLX0-1
1027,"ribonucleoside-diphosphate reductase 1, $\alpha$ subunit dimer",nrdA,B1-CPLX
1028,ribonucleoside-diphosphate reductase 1,nrdA,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX
1029,ribonucleoside-diphosphate reductase 1,nrdB,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX
1030,"ribonucleoside-diphosphate reductase 1, $\beta$ subunit dimer",nrdB,B2-CPLX
1031,anaerobic ribonucleoside-triphosphate reductase,nrdD,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX
1032,anaerobic nucleoside-triphosphate reductase activating system,nrdD,NRDACTMULTI-CPLX
1033,anaerobic nucleoside-triphosphate reductase activating system,nrdG,NRDACTMULTI-CPLX
1034,"ribonucleoside-diphosphate reductase 2, $\alpha$ subunit dimer",nrdE,NRDE-CPLX
1035,ribonucleoside-diphosphate reductase 2,nrdE,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX
1036,ribonucleoside-diphosphate reductase 2,nrdF,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX
1037,"ribonucleoside-diphosphate reductase 2, $\beta$ subunit dimer",nrdF,NRDF-CPLX
1038,anaerobic ribonucleoside-triphosphate reductase activating protein,nrdG,CPLX0-229
1039,periplasmic nitrite reductase NrfAB,nrfA,NRFMULTI-CPLX
1040,periplasmic nitrite reductase NrfAB,nrfB,NRFMULTI-CPLX
1041,putative menaquinol-cytochrome {\it c} reductase NrfCD,nrfD,CPLX0-8238
1042,putative menaquinol-cytochrome {\it c} reductase NrfCD,nrfC,CPLX0-8238
1043,DNA-binding transcriptional repressor NsrR,nsrR,CPLX0-7756
1044,RNA decapping hydrolase,nudC,CPLX0-7974
1045,ADP-sugar diphosphatase NudE,nudE,CPLX0-1221
1046,ADP-sugar pyrophosphatase,nudF,CPLX0-3721
1047,GDP-mannose hydrolase,nudK,CPLX0-3971
1048,NADH:quinone oxidoreductase I,nuoA,NADH-DHI-CPLX
1049,NADH:quinone oxidoreductase I,nuoH,NADH-DHI-CPLX
1050,NADH:quinone oxidoreductase I,nuoJ,NADH-DHI-CPLX
1051,NADH:quinone oxidoreductase I,nuoK,NADH-DHI-CPLX
1052,NADH:quinone oxidoreductase I,nuoL,NADH-DHI-CPLX
1053,NADH:quinone oxidoreductase I,nuoM,NADH-DHI-CPLX
1054,NADH:quinone oxidoreductase I,nuoN,NADH-DHI-CPLX
1055,NADH:quinone oxidoreductase I,nuoI,NADH-DHI-CPLX
1056,NADH:quinone oxidoreductase I,nuoG,NADH-DHI-CPLX
1057,NADH:quinone oxidoreductase I,nuoF,NADH-DHI-CPLX
1058,NADH:quinone oxidoreductase I,nuoE,NADH-DHI-CPLX
1059,NADH:quinone oxidoreductase I,nuoC,NADH-DHI-CPLX
1060,NADH:quinone oxidoreductase I,nuoB,NADH-DHI-CPLX
1061,"NADH:quinone oxidoreductase I, peripheral arm",nuoB,CPLX0-3361
1062,"NADH:quinone oxidoreductase I, peripheral arm",nuoC,CPLX0-3361
1063,"NADH:quinone oxidoreductase I, peripheral arm",nuoE,CPLX0-3361
1064,"NADH:quinone oxidoreductase I, peripheral arm",nuoF,CPLX0-3361
1065,"NADH:quinone oxidoreductase I, peripheral arm",nuoG,CPLX0-3361
1066,"NADH:quinone oxidoreductase I, peripheral arm",nuoI,CPLX0-3361
1067,outer membrane porin C,ompC,CPLX0-7533
1068,outer membrane porin F,ompF,CPLX0-7534
1069,OmpR-Phosphorylated DNA-binding transcriptional dual regulator,ompR,PHOSPHO-OMPR
1070,murein tripeptide ABC transporter,oppB,CPLX0-3970
1071,murein tripeptide ABC transporter,oppC,CPLX0-3970
1072,murein tripeptide ABC transporter,oppD,CPLX0-3970
1073,murein tripeptide ABC transporter,oppF,CPLX0-3970
1074,murein tripeptide ABC transporter,mppA,CPLX0-3970
1075,oligopeptide ABC transporter,oppC,ABC-22-CPLX
1076,oligopeptide ABC transporter,oppD,ABC-22-CPLX
1077,oligopeptide ABC transporter,oppF,ABC-22-CPLX
1078,oligopeptide ABC transporter,oppB,ABC-22-CPLX
1079,oligopeptide ABC transporter,oppA,ABC-22-CPLX
1080,oligoribonuclease,orn,CPLX0-1821
1081,osmotically inducible peroxiredoxin OsmC,osmC,CPLX0-8157
1082,"glycine betaine ABC transporter, non-osmoregulatory",osmF,ABC-40-CPLX
1083,"glycine betaine ABC transporter, non-osmoregulatory",yehY,ABC-40-CPLX
1084,"glycine betaine ABC transporter, non-osmoregulatory",yehX,ABC-40-CPLX
1085,"glycine betaine ABC transporter, non-osmoregulatory",yehW,ABC-40-CPLX
1086,oxalyl-CoA decarboxylase,oxc,CPLX0-7878
1087,"phenylacetyl-CoA 1,2-epoxidase",paaE,CPLX0-1762
1088,"phenylacetyl-CoA 1,2-epoxidase",paaA,CPLX0-1762
1089,"phenylacetyl-CoA 1,2-epoxidase",paaC,CPLX0-1762
1090,"phenylacetyl-CoA 1,2-epoxidase",paaB,CPLX0-1762
1091,PaaF-PaaG hydratase-isomerase complex,paaG,CPLX0-7988
1092,PaaF-PaaG hydratase-isomerase complex,paaF,CPLX0-7988
1093,phenylacetyl-CoA thioesterase,paaI,CPLX0-3941
1094,DNA-binding transcriptional repressor PaaX,paaX,CPLX0-7731
1095,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",paaY,CPLX0-8127
1096,"aminodeoxychorismate synthase subunit 1 // ""aminodeoxychorismate synthase subunit 2""",pabB,PABASYN-CPLX
1097,"aminodeoxychorismate synthase subunit 1 // ""aminodeoxychorismate synthase subunit 2""",pabA,PABASYN-CPLX
1098,aminodeoxychorismate lyase,pabC,ADCLY-CPLX
1099,The Tol-Pal Cell Envelope Complex,pal,CPLX0-2201
1100,The Tol-Pal Cell Envelope Complex,tolA,CPLX0-2201
1101,The Tol-Pal Cell Envelope Complex,tolB,CPLX0-2201
1102,The Tol-Pal Cell Envelope Complex,tolR,CPLX0-2201
1103,The Tol-Pal Cell Envelope Complex,tolQ,CPLX0-2201
1104,3-methyl-2-oxobutanoate hydroxymethyltransferase,panB,3-METHYL-2-OXOBUT-OHCH3XFER-CPLX
1105,pantothenate synthetase,panC,PANTOATE-BETA-ALANINE-LIG-CPLX
1106,aspartate 1-decarboxylase,panD,CPLX0-2901
1107,"aldehyde dehydrogenase, Fe-S subunit // ""aldehyde dehydrogenase, FAD-binding subunit"" // ""aldehyde dehydrogenase: molybdenum cofactor-binding subunit""",paoA,CPLX0-7805
1108,"aldehyde dehydrogenase, Fe-S subunit // ""aldehyde dehydrogenase, FAD-binding subunit"" // ""aldehyde dehydrogenase: molybdenum cofactor-binding subunit""",paoB,CPLX0-7805
1109,"aldehyde dehydrogenase, Fe-S subunit // ""aldehyde dehydrogenase, FAD-binding subunit"" // ""aldehyde dehydrogenase: molybdenum cofactor-binding subunit""",paoC,CPLX0-7805
1110,molybdenum cofactor insertion chaperone PaoD,paoD,CPLX0-8110
1111,dimer of DNA topoisomerase IV subunit A,parC,CPLX0-2423
1112,DNA topoisomerase IV,parE,CPLX0-2424
1113,DNA topoisomerase IV,parC,CPLX0-2424
1114,putrescine aminotransferase,patA,CPLX0-8159
1115,$\gamma$-aminobutyraldehyde dehydrogenase,patD,CPLX0-3641
1116,peptidyl-lysine {\it N}-acetyltransferase,patZ,CPLX0-8189
1117,cyclic di-GMP phosphodiesterase PdeF,pdeF,CPLX0-8200
1118,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,pdeL,CPLX0-8109
1119,4-hydroxythreonine-4-phosphate dehydrogenase,pdxA,CPLX0-7847
1120,erythronate-4-phosphate dehydrogenase,pdxB,CPLX0-8212
1121,pyridoxine/pyridoxamine 5'-phosphate oxidase,pdxH,PDXH-CPLX
1122,pyridoxine 5'-phosphate synthase,pdxJ,CPLX0-321
1123,pyridoxal kinase I / hydroxymethylpyrimidine kinase,pdxK,PDXK-CPLX
1124,pyridoxal kinase 2,pdxY,CPLX0-8031
1125,aminopeptidase A/I and DNA-binding transcriptional repressor,pepA,CPLX0-3061
1126,aminopeptidase B,pepB,CPLX0-8122
1127,peptidase D,pepD,CPLX0-3001
1128,Xaa-Pro aminopeptidase,pepP,CPLX0-3081
1129,Xaa-Pro dipeptidase,pepQ,CPLX0-8156
1130,peptidase T,pepT,CPLX0-3041
1131,6-phosphofructokinase 1,pfkA,6PFK-1-CPX
1132,6-phosphofructokinase 2,pfkB,6PFK-2-CPX
1133,pyruvate formate-lyase (inactive),pflB,PYRUVFORMLY-INACTIVE-CPLX
1134,poly-{\it N}-acetyl-D-glucosamine synthase,pgaD,CPLX0-7994
1135,poly-{\it N}-acetyl-D-glucosamine synthase,pgaC,CPLX0-7994
1136,glucose-6-phosphate isomerase,pgi,CPLX0-7877
1137,fused chorismate mutase/prephenate dehydratase,pheA,CHORISMUTPREPHENDEHYDRAT-CPLX
1138,phenylalanine$\mdash$tRNA ligase,pheS,PHES-CPLX
