accession_number,category,go_mapping,hierarchy,id
KW-1099,Biological process,GO:0039522; suppression by virus of host mRNA export from nucleus, Host-virus interaction; Host gene expression shutoff by virus; Eukaryotic host gene expression shutoff by virus; Host mRNA suppression by virus; Inhibition of host mRNA nuclear export by virus,Inhibition of host mRNA nuclear export by virus
KW-1100,Biological process,GO:0039644; suppression by virus of host NF-kappaB transcription factor activity, Host-virus interaction; Inhibition of host NF-kappa-B by virus,Inhibition of host NF-kappa-B by virus
KW-1102,Biological process,GO:0039580; suppression by virus of host PKR activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host interferon signaling pathway by virus; Inhibition of host PKR by virus,Inhibition of host PKR by virus
KW-1101,Biological process,GO:0039647; suppression by virus of host poly(A)-binding protein activity, Host-virus interaction; Host gene expression shutoff by virus; Eukaryotic host gene expression shutoff by virus; Eukaryotic host translation shutoff by virus; Inhibition of host poly(A)-binding protein by virus,Inhibition of host poly(A)-binding protein by virus
KW-1103,Biological process,GO:0039524; suppression by virus of host mRNA processing, Host-virus interaction; Host gene expression shutoff by virus; Eukaryotic host gene expression shutoff by virus; Host mRNA suppression by virus; Inhibition of host pre-mRNA processing by virus,Inhibition of host pre-mRNA processing by virus
KW-1117,Biological process,GO:0039588; suppression by virus of host antigen processing and presentation, Host-virus interaction; Viral immunoevasion; Inhibition of host adaptive immune response by virus; Inhibition of host proteasome antigen processing by virus,Inhibition of host proteasome antigen processing by virus
KW-1088,Biological process,GO:0039540; suppression by virus of host RIG-I activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host RLR pathway by virus; Inhibition of host RIG-I by virus,Inhibition of host RIG-I by virus
KW-1113,Biological process,GO:0039532; negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host RLR pathway by virus,Inhibition of host RLR pathway by virus
KW-1104,Biological process,GO:0039523; suppression by virus of host RNA polymerase II activity, Host-virus interaction; Host gene expression shutoff by virus; Eukaryotic host gene expression shutoff by virus; Eukaryotic host transcription shutoff by virus; Inhibition of host RNA polymerase II by virus,Inhibition of host RNA polymerase II by virus
KW-1105,Biological process,GO:0039563; suppression by virus of host STAT1 activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host interferon signaling pathway by virus; Inhibition of host STAT1 by virus,Inhibition of host STAT1 by virus
KW-1106,Biological process,GO:0039564; suppression by virus of host STAT2 activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host interferon signaling pathway by virus; Inhibition of host STAT2 by virus,Inhibition of host STAT2 by virus
KW-1107,Biological process,GO:0039588; suppression by virus of host antigen processing and presentation, Host-virus interaction; Viral immunoevasion; Inhibition of host adaptive immune response by virus; Inhibition of host TAP by virus,Inhibition of host TAP by virus
KW-1108,Biological process,GO:0039591; suppression by virus of host tapasin activity, Host-virus interaction; Viral immunoevasion; Inhibition of host adaptive immune response by virus; Inhibition of host tapasin by virus,Inhibition of host tapasin by virus
KW-1223,Biological process,GO:0039723; suppression by virus of host TBK1 activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host TLR pathway by virus; Inhibition of host TBK1 by virus,Inhibition of host TBK1 by virus
KW-1084,Biological process,GO:0039587; suppression by virus of host tetherin activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host interferon signaling pathway by virus; Inhibition of host tetherin by virus,Inhibition of host tetherin by virus
KW-1225,Biological process,GO:0039722; suppression by virus of host toll-like receptor signaling pathway, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host TLR pathway by virus,Inhibition of host TLR pathway by virus
KW-1110,Biological process,GO:0039547; suppression by virus of host TRAF activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host RLR pathway by virus; Inhibition of host TRAFs by virus,Inhibition of host TRAFs by virus
KW-1112,Biological process,GO:0039574; suppression by virus of host TYK2 activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host interferon signaling pathway by virus; Inhibition of host TYK2 by virus,Inhibition of host TYK2 by virus
KW-0396,Molecular function,GO:0006413; translational initiation, Initiation factor,Initiation factor
KW-0399,Biological process,GO:0045087; innate immune response, Immunity; Innate immunity,Innate immunity
KW-1153,Cellular component,GO:0039625; viral inner capsid, Virion; Capsid protein; Inner capsid protein,Inner capsid protein
KW-0398,Biological process,GO:0006021; inositol biosynthetic process, Inositol biosynthesis,Inositol biosynthesis
KW-0978,Biological process,, Insecticide resistance,Insecticide resistance
KW-0401,Molecular function,GO:0007229; integrin-mediated signaling pathway, Integrin,Integrin
KW-0922,Biological process,GO:0030683; evasion or tolerance by virus of host immune response, Interferon antiviral system evasion,Interferon antiviral system evasion
KW-1154,Cellular component,GO:0039626; viral intermediate capsid, Virion; Capsid protein; Intermediate capsid protein,Intermediate capsid protein
KW-0403,Cellular component,GO:0005882; intermediate filament, Intermediate filament,Intermediate filament
KW-0988,Disease,, Intrahepatic cholestasis,Intrahepatic cholestasis
KW-0404,Biological process,GO:0006314; intron homing, Intron homing,Intron homing
KW-0405,PTM,, Iodination,Iodination
KW-0407,Molecular function,GO:0005216; ion channel activity, Ion channel,Ion channel
KW-0872,Molecular function,GO:0008200; ion channel inhibitor activity, Toxin; Ion channel impairing toxin,Ion channel impairing toxin
KW-0406,Biological process,GO:0006811; ion transport, Transport; Ion transport,Ion transport
KW-1028,Molecular function,, Toxin; Ion channel impairing toxin; Ionotropic glutamate receptor inhibitor,Ionotropic glutamate receptor inhibitor
KW-0408,Ligand,, Iron,Iron
KW-0409,Biological process,GO:0006879; cellular iron ion homeostasis, Iron storage,Iron storage
KW-0410,Biological process,GO:0055072; iron ion homeostasis, Iron; Iron transport,Iron transport
KW-0411,Ligand,GO:0051536; iron-sulfur cluster binding, Metal-binding; Iron-sulfur,Iron-sulfur
KW-0412,Biological process,GO:0009097; isoleucine biosynthetic process, Amino-acid biosynthesis; Branched-chain amino acid biosynthesis; Isoleucine biosynthesis,Isoleucine biosynthesis
KW-0413,Molecular function,GO:0016853; isomerase activity, Isomerase,Isomerase
KW-1017,PTM,, Isopeptide bond,Isopeptide bond
KW-0414,Biological process,GO:0008299; isoprenoid biosynthetic process, Isoprene biosynthesis,Isoprene biosynthesis
KW-1184,Biological process,, Jasmonic acid signaling pathway,Jasmonic acid signaling pathway
KW-0979,Disease,, Ciliopathy; Joubert syndrome,Joubert syndrome
KW-0956,Disease,, Kallmann syndrome,Kallmann syndrome
KW-1012,Disease,, Ciliopathy; Primary ciliary dyskinesia; Kartagener syndrome,Kartagener syndrome
KW-0415,Biological process,GO:0000741; karyogamy, Karyogamy,Karyogamy
KW-0880,Domain,, Kelch repeat,Kelch repeat
KW-0416,Cellular component,GO:0005882; intermediate filament, Keratin,Keratin
KW-0417,Biological process,GO:0031424; keratinization, Keratinization,Keratinization
KW-0418,Molecular function,GO:0016310; phosphorylation, Transferase; Kinase,Kinase
KW-0995,Cellular component,GO:0000776; kinetochore, Kinetochore,Kinetochore
KW-0419,Cellular component,GO:0020023; kinetoplast, Mitochondrion; Kinetoplast,Kinetoplast
KW-0960,Domain,, Knottin,Knottin
KW-0420,Domain,, Kringle,Kringle
KW-0953,Disease,, Ectodermal dysplasia; Lacrimo-auriculo-dento-digital syndrome,Lacrimo-auriculo-dento-digital syndrome
KW-0421,Biological process,GO:0007595; lactation, Lactation,Lactation
KW-0422,Biological process,GO:0005989; lactose biosynthetic process, Lactose biosynthesis,Lactose biosynthesis
KW-0423,Biological process,GO:0005988; lactose metabolic process, Lactose metabolism,Lactose metabolism
KW-0424,Domain,, Laminin EGF-like domain,Laminin EGF-like domain
KW-0425,Molecular function,GO:0019835; cytolysis, Antimicrobial; Antibiotic; Bacteriocin; Lantibiotic,Lantibiotic
KW-0426,Developmental stage,, Late protein,Late protein
KW-1252,Biological process,GO:0098689; latency-replication decision, Latency-replication decision,Latency-replication decision
KW-0427,Cellular component,GO:0034362; low-density lipoprotein particle, LDL,LDL
KW-1027,Ligand,, Lead,Lead
KW-0428,Molecular function,, Leader peptide,Leader peptide
KW-0901,Disease,, Leber congenital amaurosis,Leber congenital amaurosis
KW-0429,Disease,, Primary mitochondrial disease; Leber hereditary optic neuropathy,Leber hereditary optic neuropathy
KW-0430,Ligand,GO:0030246; carbohydrate binding, Lectin,Lectin
KW-0431,Disease,, Primary mitochondrial disease; Leigh syndrome,Leigh syndrome
KW-0432,Biological process,GO:0009098; leucine biosynthetic process, Amino-acid biosynthesis; Branched-chain amino acid biosynthesis; Leucine biosynthesis,Leucine biosynthesis
KW-0433,Domain,, Leucine-rich repeat,Leucine-rich repeat
KW-1026,Disease,, Leukodystrophy,Leukodystrophy
KW-0434,Biological process,GO:0019370; leukotriene biosynthetic process, Leukotriene biosynthesis,Leukotriene biosynthesis
KW-0435,Disease,, Li-Fraumeni syndrome,Li-Fraumeni syndrome
KW-9993,,,,
KW-1071,Molecular function,, Ion channel; Ligand-gated ion channel,Ligand-gated ion channel
KW-0436,Molecular function,GO:0016874; ligase activity, Ligase,Ligase
KW-0437,Molecular function,GO:0030076; light-harvesting complex, Light-harvesting polypeptide,Light-harvesting polypeptide
KW-0438,Biological process,GO:0009809; lignin biosynthetic process, Lignin biosynthesis,Lignin biosynthesis
KW-0439,Biological process,GO:0046274; lignin catabolic process, Lignin degradation,Lignin degradation
KW-0440,Domain,, LIM domain,LIM domain
KW-0947,Disease,, Limb-girdle muscular dystrophy,Limb-girdle muscular dystrophy
KW-0441,Biological process,GO:0009245; lipid A biosynthetic process, Lipid metabolism; Lipid biosynthesis; Lipid A biosynthesis,Lipid A biosynthesis
KW-0444,Biological process,GO:0008610; lipid biosynthetic process, Lipid metabolism; Lipid biosynthesis,Lipid biosynthesis
KW-0442,Biological process,GO:0016042; lipid catabolic process, Lipid metabolism; Lipid degradation,Lipid degradation
KW-0551,Cellular component,GO:0005811; lipid droplet, Lipid droplet,Lipid droplet
KW-0443,Biological process,GO:0006629; lipid metabolic process, Lipid metabolism,Lipid metabolism
KW-0445,Biological process,GO:0006869; lipid transport, Transport; Lipid transport,Lipid transport
KW-0446,Ligand,GO:0008289; lipid binding, Lipid-binding,Lipid-binding
KW-0448,Biological process,GO:0009103; lipopolysaccharide biosynthetic process, Lipopolysaccharide biosynthesis,Lipopolysaccharide biosynthesis
KW-0449,PTM,, Lipoprotein,Lipoprotein
KW-0450,Domain,, Lipoyl,Lipoyl
KW-0451,Disease,, Lissencephaly,Lissencephaly
KW-0452,Ligand,, Lithium,Lithium
KW-0454,Disease,, Long QT syndrome,Long QT syndrome
KW-0886,PTM,, LTQ,LTQ
KW-0455,Biological process,GO:0008218; bioluminescence, Luminescence,Luminescence
KW-0456,Molecular function,GO:0016829; lyase activity, Lyase,Lyase
KW-0457,Biological process,GO:0009085; lysine biosynthetic process, Amino-acid biosynthesis; Lysine biosynthesis,Lysine biosynthesis
KW-0458,Cellular component,GO:0005764; lysosome, Lysosome,Lysosome
KW-0460,Ligand,, Magnesium,Magnesium
KW-1281,Cellular component,, Magnetosome,Magnetosome
KW-0461,Disease,, Malaria,Malaria
KW-0462,Biological process,GO:0000023; maltose metabolic process, Maltose metabolism,Maltose metabolism
KW-0463,Biological process,GO:0018924; mandelate metabolic process, Mandelate pathway,Mandelate pathway
KW-0464,Ligand,, Manganese,Manganese
KW-0465,Ligand,GO:0005537; mannose binding, Lectin; Mannose-binding,Mannose-binding
KW-0466,Disease,, Maple syrup urine disease,Maple syrup urine disease
KW-0467,Biological process,GO:0043303; mast cell degranulation, Mast cell degranulation,Mast cell degranulation
KW-0981,Disease,, Ciliopathy; Meckel syndrome,Meckel syndrome
KW-0469,Biological process,GO:0051321; meiotic cell cycle, Meiosis,Meiosis
KW-0470,Biological process,GO:0042438; melanin biosynthetic process, Melanin biosynthesis,Melanin biosynthesis
KW-0867,Disease,, Primary mitochondrial disease; MELAS syndrome,MELAS syndrome
KW-0471,Biological process,GO:0030187; melatonin biosynthetic process, Melatonin biosynthesis,Melatonin biosynthesis
KW-0472,Cellular component,GO:0016020; membrane, Membrane,Membrane
KW-0473,Cellular component,GO:0005579; membrane attack complex, Membrane attack complex,Membrane attack complex
KW-0474,Biological process,GO:0009234; menaquinone biosynthetic process, Menaquinone biosynthesis,Menaquinone biosynthesis
KW-0991,Disease,, Mental retardation,Mental retardation
KW-0475,Biological process,GO:0046689; response to mercury ion, Mercuric resistance,Mercuric resistance
KW-0476,Ligand,, Mercury,Mercury
KW-0477,Developmental stage,, Merozoite,Merozoite
KW-0478,Disease,, Leukodystrophy; Metachromatic leukodystrophy,Metachromatic leukodystrophy
KW-0479,Ligand,GO:0046872; metal ion binding, Metal-binding,Metal-binding
KW-0480,Ligand,GO:0046872; metal ion binding, Metal-binding; Metal-thiolate cluster,Metal-thiolate cluster
KW-0481,Molecular function,GO:0004857; enzyme inhibitor activity, Metalloenzyme inhibitor,Metalloenzyme inhibitor
KW-0482,Molecular function,GO:0008237; metallopeptidase activity, Hydrolase; Protease; Metalloprotease,Metalloprotease
KW-0483,Molecular function,GO:0008191; metalloendopeptidase inhibitor activity, Protease inhibitor; Metalloprotease inhibitor,Metalloprotease inhibitor
KW-0484,Biological process,GO:0015948; methanogenesis, Methanogenesis,Methanogenesis
KW-0485,Biological process,GO:0015945; methanol metabolic process, Methanol utilization,Methanol utilization
KW-0486,Biological process,GO:0009086; methionine biosynthetic process, Amino-acid biosynthesis; Methionine biosynthesis,Methionine biosynthesis
KW-0487,Biological process,GO:0031427; response to methotrexate, Methotrexate resistance,Methotrexate resistance
KW-0488,PTM,, Methylation,Methylation
KW-0489,Molecular function,GO:0032259; methylation, Transferase; Methyltransferase,Methyltransferase
KW-0490,Cellular component,GO:0042612; MHC class I protein complex, MHC I,MHC I
KW-0491,Cellular component,GO:0042613; MHC class II protein complex, MHC II,MHC II
KW-1013,Disease,, Microphthalmia,Microphthalmia
KW-0492,Cellular component,GO:0043231; intracellular membrane-bounded organelle, Endoplasmic reticulum; Microsome,Microsome
KW-1177,Biological process,GO:0075521; microtubule-dependent intracellular transport of viral material towards nucleus, Virus entry into host cell; Cytoplasmic inwards viral transport; Microtubular inwards viral transport,Microtubular inwards viral transport
KW-1189,Biological process,GO:0039701; microtubule-dependent intracellular transport of viral material towards cell periphery, Viral release from host cell; Microtubular outwards viral transport,Microtubular outwards viral transport
KW-0493,Cellular component,GO:0005874; microtubule, Microtubule,Microtubule
KW-0494,Molecular function,, Milk protein,Milk protein
KW-0495,Biological process,GO:0030500; regulation of bone mineralization, Mineral balance,Mineral balance
KW-0496,Cellular component,GO:0005739; mitochondrion, Mitochondrion,Mitochondrion
KW-0999,Cellular component,GO:0005743; mitochondrial inner membrane, Mitochondrion; Mitochondrion inner membrane,Mitochondrion inner membrane
KW-1135,Cellular component,GO:0042645; mitochondrial nucleoid, Mitochondrion; Mitochondrion nucleoid,Mitochondrion nucleoid
KW-1000,Cellular component,GO:0005741; mitochondrial outer membrane, Mitochondrion; Mitochondrion outer membrane,Mitochondrion outer membrane
KW-0497,Molecular function,GO:0051781; positive regulation of cell division, Mitogen,Mitogen
KW-0498,Biological process,, Cell cycle; Cell division; Mitosis,Mitosis
KW-1025,Cellular component,GO:0032047; mitosome, Mitosome,Mitosome
KW-0499,Molecular function,, Mobility protein,Mobility protein
KW-1119,Biological process,GO:0039526; modulation by virus of host apoptotic process, Host-virus interaction; Modulation of host cell apoptosis by virus,Modulation of host cell apoptosis by virus
KW-1120,Biological process,GO:0060153; modulation by virus of host cell cycle, Host-virus interaction; Modulation of host cell cycle by virus; Modulation of host cell cycle by viral cyclin-like protein,Modulation of host cell cycle by viral cyclin-like protein
KW-1121,Biological process,GO:0060153; modulation by virus of host cell cycle, Host-virus interaction; Modulation of host cell cycle by virus,Modulation of host cell cycle by virus
KW-1122,Biological process,GO:0039525; modulation by virus of host chromatin organization, Host-virus interaction; Modulation of host chromatin by virus,Modulation of host chromatin by virus
KW-1118,Biological process,GO:0039673; evasion by virus of host dendritic cell activity, Host-virus interaction; Viral immunoevasion; Modulation of host dendritic cell activity by virus,Modulation of host dendritic cell activity by virus
KW-1123,Biological process,GO:0039649; modulation by virus of host ubiquitin-protein ligase activity, Host-virus interaction; Modulation of host ubiquitin pathway by virus; Modulation of host E3 ubiquitin ligases by virus,Modulation of host E3 ubiquitin ligases by virus
KW-1124,Biological process,GO:0075528; modulation by virus of host immune response, Host-virus interaction; Viral immunoevasion; Modulation of host immunity by viral IgG Fc receptor-like protein,Modulation of host immunity by viral IgG Fc receptor-like protein
KW-1131,Biological process,GO:0039671; evasion by virus of host natural killer cell activity, Host-virus interaction; Viral immunoevasion; Modulation of host NK-cell activity by virus,Modulation of host NK-cell activity by virus
KW-1126,Biological process,GO:0039586; modulation by virus of host PP1 activity, Host-virus interaction; Viral immunoevasion; Inhibition of host innate immune response by virus; Inhibition of host interferon signaling pathway by virus; Modulation of host PP1 activity by virus,Modulation of host PP1 activity by virus
KW-1127,Biological process,GO:0039648; modulation by virus of host protein ubiquitination, Host-virus interaction; Modulation of host ubiquitin pathway by virus; Modulation of host ubiquitin pathway by viral deubiquitinase,Modulation of host ubiquitin pathway by viral deubiquitinase
KW-1128,Biological process,GO:0039648; modulation by virus of host protein ubiquitination, Host-virus interaction; Modulation of host ubiquitin pathway by virus; Modulation of host ubiquitin pathway by viral E3 ligase,Modulation of host ubiquitin pathway by viral E3 ligase
KW-1129,Biological process,GO:0039648; modulation by virus of host protein ubiquitination, Host-virus interaction; Modulation of host ubiquitin pathway by virus; Modulation of host ubiquitin pathway by viral ubl,Modulation of host ubiquitin pathway by viral ubl
KW-1130,Biological process,GO:0039648; modulation by virus of host protein ubiquitination, Host-virus interaction; Modulation of host ubiquitin pathway by virus,Modulation of host ubiquitin pathway by virus
KW-1254,Biological process,GO:0098676; modulation of host virulence by virus, Virulence; Modulation of host virulence by virus,Modulation of host virulence by virus
KW-9992,,,,
KW-0500,Ligand,, Molybdenum,Molybdenum
KW-0501,Biological process,GO:0006777; Mo-molybdopterin cofactor biosynthetic process, Molybdenum cofactor biosynthesis,Molybdenum cofactor biosynthesis
KW-0502,Molecular function,GO:0003823; antigen binding, Monoclonal antibody,Monoclonal antibody
KW-0503,Molecular function,GO:0004497; monooxygenase activity, Oxidoreductase; Monooxygenase,Monooxygenase
KW-0504,Molecular function,GO:0016015; morphogen activity, Morphogen,Morphogen
KW-0505,Molecular function,, Motor protein,Motor protein
KW-0506,Biological process,GO:0006370; 7-methylguanosine mRNA capping, mRNA processing; mRNA capping,mRNA capping
KW-0507,Biological process,GO:0006397; mRNA processing, mRNA processing,mRNA processing
KW-0508,Biological process,GO:0008380; RNA splicing, mRNA processing; mRNA splicing,mRNA splicing
KW-0509,Biological process,GO:0051028; mRNA transport, Transport; mRNA transport,mRNA transport
KW-0942,Disease,, Mucolipidosis,Mucolipidosis
KW-0510,Disease,, Mucopolysaccharidosis,Mucopolysaccharidosis
KW-0511,Molecular function,GO:0008152; metabolic process, Multifunctional enzyme,Multifunctional enzyme
KW-0514,Molecular function,, Muscle protein,Muscle protein
KW-0515,Molecular function,, Mutator protein,Mutator protein
KW-1060,Disease,, Myofibrillar myopathy,Myofibrillar myopathy
KW-0517,Biological process,GO:0007517; muscle organ development, Myogenesis,Myogenesis
KW-0518,Molecular function,GO:0016459; myosin complex, Motor protein; Myosin,Myosin
KW-0959,Molecular function,, Toxin; Myotoxin,Myotoxin
KW-0519,PTM,, Lipoprotein; Myristate,Myristate
KW-0520,Ligand,, NAD,NAD
KW-0521,Ligand,, NADP,NADP
KW-1210,Biological process,GO:0012501; programmed cell death, Necrosis,Necrosis
KW-1057,Disease,, Nemaline myopathy,Nemaline myopathy
KW-0166,Cellular component,GO:0042151; nematocyst, Nematocyst,Nematocyst
KW-0983,Disease,, Nephronophthisis,Nephronophthisis
KW-0523,Disease,, Neurodegeneration,Neurodegeneration
KW-0524,Biological process,GO:0007399; nervous system development, Neurogenesis,Neurogenesis
KW-0525,Disease,, Neurodegeneration; Neuronal ceroid lipofuscinosis,Neuronal ceroid lipofuscinosis
KW-0622,Disease,, Neuropathy,Neuropathy
KW-0527,Molecular function,GO:0007218; neuropeptide signaling pathway, Neuropeptide,Neuropeptide
KW-0528,Molecular function,, Toxin; Neurotoxin,Neurotoxin
KW-0529,Molecular function,GO:0007268; chemical synaptic transmission, Neurotransmitter,Neurotransmitter
KW-0530,Biological process,GO:0042136; neurotransmitter biosynthetic process, Neurotransmitter biosynthesis,Neurotransmitter biosynthesis
KW-0531,Biological process,GO:0042135; neurotransmitter catabolic process, Neurotransmitter degradation,Neurotransmitter degradation
KW-0532,Biological process,GO:0006836; neurotransmitter transport, Transport; Neurotransmitter transport,Neurotransmitter transport
KW-0533,Ligand,, Nickel,Nickel
KW-0996,Biological process,, Nickel insertion,Nickel insertion
KW-0921,Biological process,GO:0015675; nickel cation transport, Nickel; Nickel transport,Nickel transport
KW-1054,Disease,, Niemann-Pick disease,Niemann-Pick disease
KW-0534,Biological process,GO:0042128; nitrate assimilation, Nitrate assimilation,Nitrate assimilation
KW-0944,PTM,, Nitration,Nitration
KW-0535,Biological process,GO:0009399; nitrogen fixation, Nitrogen fixation,Nitrogen fixation
KW-0536,Biological process,GO:0009877; nodulation, Nodulation,Nodulation
KW-1010,Disease,, Deafness; Non-syndromic deafness,Non-syndromic deafness
KW-0866,Biological process,"GO:0000184; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay", Nonsense-mediated mRNA decay,Nonsense-mediated mRNA decay
KW-0914,Biological process,GO:0007219; Notch signaling pathway, Notch signaling pathway,Notch signaling pathway
KW-0906,Cellular component,GO:0005643; nuclear pore, Transport; Protein transport; Translocation; Nuclear pore complex,Nuclear pore complex
KW-0540,Molecular function,GO:0004518; nuclease activity, Hydrolase; Nuclease,Nuclease
KW-0542,Cellular component,GO:0033009; nucleomorph, Nucleomorph,Nucleomorph
KW-0544,Cellular component,GO:0000786; nucleosome, DNA-binding; Nucleosome core,Nucleosome core
KW-0545,Biological process,GO:0009165; nucleotide biosynthetic process, Nucleotide biosynthesis,Nucleotide biosynthesis
KW-0546,Biological process,GO:0009117; nucleotide metabolic process, Nucleotide metabolism,Nucleotide metabolism
KW-0547,Ligand,GO:0000166; nucleotide binding, Nucleotide-binding,Nucleotide-binding
KW-0548,Molecular function,GO:0016779; nucleotidyltransferase activity, Transferase; Nucleotidyltransferase,Nucleotidyltransferase
KW-0539,Cellular component,GO:0005634; nucleus, Nucleus,Nucleus
KW-0549,Biological process,GO:0019876; nylon catabolic process, Nylon degradation,Nylon degradation
KW-0550,Disease,, Obesity,Obesity
KW-0552,Biological process,GO:0007608; sensory perception of smell, Sensory transduction; Olfaction,Olfaction
KW-0553,Disease,, Oncogene,Oncogene
KW-0554,Biological process,GO:0006730; one-carbon metabolic process, One-carbon metabolism,One-carbon metabolism
KW-0896,Biological process,GO:0048477; oogenesis, Differentiation; Oogenesis,Oogenesis
KW-0555,Molecular function,GO:0001515; opioid peptide activity, Opioid peptide,Opioid peptide
KW-0994,Cellular component,GO:0070111; organellar chromatophore, Plastid; Organellar chromatophore,Organellar chromatophore
KW-0556,PTM,, Organic radical,Organic radical
KW-0892,Biological process,GO:0001503; ossification, Osteogenesis,Osteogenesis
KW-1065,Disease,, Osteogenesis imperfecta,Osteogenesis imperfecta
KW-0987,Disease,, Osteopetrosis,Osteopetrosis
KW-1152,Cellular component,GO:0039624; viral outer capsid, Virion; Capsid protein; Outer capsid protein,Outer capsid protein
KW-0558,PTM,, Oxidation,Oxidation
KW-0560,Molecular function,GO:0055114; oxidation-reduction process, Oxidoreductase,Oxidoreductase
KW-0561,Biological process,GO:0015671; oxygen transport, Transport; Oxygen transport,Oxygen transport
KW-0925,Biological process,GO:0031408; oxylipin biosynthetic process, Lipid metabolism; Lipid biosynthesis; Fatty acid biosynthesis; Oxylipin biosynthesis,Oxylipin biosynthesis
KW-0562,Molecular function,GO:0007366; periodic partitioning by pair rule gene, Developmental protein; Pair-rule protein,Pair-rule protein
KW-0563,Domain,, Paired box,Paired box
KW-0564,PTM,, Lipoprotein; Palmitate,Palmitate
KW-1007,Disease,, Palmoplantar keratoderma,Palmoplantar keratoderma
KW-0566,Biological process,GO:0015940; pantothenate biosynthetic process, Pantothenate biosynthesis,Pantothenate biosynthesis
KW-0907,Disease,, Parkinson disease,Parkinson disease
KW-0908,Disease,, Parkinsonism,Parkinsonism
KW-0568,Molecular function,GO:0009607; response to biotic stimulus, Pathogenesis-related protein,Pathogenesis-related protein
KW-0570,Biological process,GO:0006098; pentose-phosphate shunt, Pentose shunt,Pentose shunt
KW-0571,Biological process,GO:0015833; peptide transport, Transport; Protein transport; Peptide transport,Peptide transport
KW-0573,Biological process,GO:0009252; peptidoglycan biosynthetic process, Peptidoglycan synthesis,Peptidoglycan synthesis
KW-0572,PTM,, Peptidoglycan-anchor,Peptidoglycan-anchor
KW-0574,Cellular component,GO:0042597; periplasmic space, Periplasm,Periplasm
KW-0575,Molecular function,GO:0004601; peroxidase activity, Oxidoreductase; Peroxidase,Peroxidase
KW-0576,Cellular component,GO:0005777; peroxisome, Peroxisome,Peroxisome
KW-0962,Biological process,GO:0007031; peroxisome organization, Peroxisome biogenesis,Peroxisome biogenesis
KW-0958,Disease,, Peroxisome biogenesis disorder,Peroxisome biogenesis disorder
KW-1059,Disease,, Peters anomaly,Peters anomaly
KW-0577,Biological process,GO:0042621; poly(3-hydroxyalkanoate) biosynthetic process, PHA biosynthesis,PHA biosynthesis
KW-0581,Biological process,GO:0006909; phagocytosis, Phagocytosis,Phagocytosis
KW-0582,Technical term,, Pharmaceutical,Pharmaceutical
KW-0583,Biological process,GO:0042619; poly-hydroxybutyrate biosynthetic process, PHB biosynthesis,PHB biosynthesis
KW-0584,Biological process,GO:0009094; L-phenylalanine biosynthetic process, Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Phenylalanine biosynthesis,Phenylalanine biosynthesis
KW-0585,Biological process,GO:0006559; L-phenylalanine catabolic process, Phenylalanine catabolism,Phenylalanine catabolism
KW-0586,Disease,, Phenylketonuria,Phenylketonuria
KW-0587,Biological process,GO:0009698; phenylpropanoid metabolic process, Phenylpropanoid metabolism,Phenylpropanoid metabolism
KW-0588,Molecular function,GO:0005186; pheromone activity, Pheromone,Pheromone
KW-0589,Biological process,GO:0019236; response to pheromone, Pheromone response,Pheromone response
KW-0590,Ligand,GO:0005550; pheromone binding, Pheromone-binding,Pheromone-binding
KW-0592,Biological process,GO:0006817; phosphate ion transport, Transport; Phosphate transport,Phosphate transport
KW-0593,Molecular function,GO:0019834; phospholipase A2 inhibitor activity, Phospholipase A2 inhibitor,Phospholipase A2 inhibitor
KW-0594,Biological process,GO:0008654; phospholipid biosynthetic process, Lipid metabolism; Phospholipid metabolism; Phospholipid biosynthesis,Phospholipid biosynthesis
KW-0595,Biological process,GO:0009395; phospholipid catabolic process, Lipid metabolism; Phospholipid metabolism; Phospholipid degradation,Phospholipid degradation
KW-1208,Biological process,, Lipid metabolism; Phospholipid metabolism,Phospholipid metabolism
KW-0918,Biological process,GO:0015716; organic phosphonate transport, Transport; Phosphonate transport,Phosphonate transport
KW-0596,PTM,, Phosphopantetheine,Phosphopantetheine
KW-0597,PTM,, Phosphoprotein,Phosphoprotein
KW-0598,Biological process,GO:0009401; phosphoenolpyruvate-dependent sugar phosphotransferase system, Phosphotransferase system,Phosphotransferase system
KW-0599,Molecular function,GO:0008218; bioluminescence, Photoprotein,Photoprotein
